ws_id,yahoo_symbol,price_rows,first_day,last_day
WS:XLON:ROR.L,ROR.L,505,2024-09-02,2026-08-28
WS:XTSE:IAU,IAU.TO,501,2024-09-03,2026-08-31
WS:XTSE:LAC,LAC.TO,501,2024-09-03,2026-08-31
