Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Evidence_Cohort,Source_ID,Instrument_Type,History_State,History_Observation_Count,History_Valid_Observation_Count,Liquidity_State,Liquidity_Bucket,Usable20,MedianTurnover20_EUR,Eligibility_DryRun,Stage_U_Status
30,WSSEC:WS:BVMF:SUZB3,WS:BVMF:SUZB3,BVMF,SUZB3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,498,498,LIQUIDITY_OK,PREFERRED,20,54150667.13297424,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
31,WSSEC:WS:BVMF:TIMS3,WS:BVMF:TIMS3,BVMF,TIMS3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,PREFERRED,20,23905732.774277065,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
32,WSSEC:WS:BVMF:TOTS3,WS:BVMF:TOTS3,BVMF,TOTS3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,STANDARD,20,19556082.30738446,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
33,WSSEC:WS:BVMF:UGPA3,WS:BVMF:UGPA3,BVMF,UGPA3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,498,498,LIQUIDITY_OK,PREFERRED,20,60198115.56954514,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
34,WSSEC:WS:BVMF:VALE3,WS:BVMF:VALE3,BVMF,VALE3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,PREFERRED,20,234869092.2258178,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
35,WSSEC:WS:BVMF:VBBR3,WS:BVMF:VBBR3,BVMF,VBBR3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,PREFERRED,20,46866677.93765603,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
36,WSSEC:WS:BVMF:VIVT3,WS:BVMF:VIVT3,BVMF,VIVT3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,PREFERRED,20,25763997.702757604,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
37,WSSEC:WS:BVMF:WEGE3,WS:BVMF:WEGE3,BVMF,WEGE3,BASE_1633,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,ORDINARY_SHARE,HISTORY_OK,497,497,LIQUIDITY_OK,PREFERRED,20,54196946.35551958,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
38,WSSEC:WS:ISIN:INE002A01018,WS:ISIN:INE002A01018,XNSE,RELIANCE,BASE_1633,SRC_NIFTY50,COMMON_STOCK,HISTORY_OK,499,499,LIQUIDITY_OK,PREFERRED,20,116092317.74272555,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
39,WSSEC:WS:ISIN:INE009A01021,WS:ISIN:INE009A01021,XNSE,INFY,BASE_1633,SRC_NIFTY50,COMMON_STOCK,HISTORY_OK,499,499,LIQUIDITY_OK,PREFERRED,20,85706994.15682045,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
40,WSSEC:WS:ISIN:INE018A01030,WS:ISIN:INE018A01030,XNSE,LT,BASE_1633,SRC_NIFTY50,COMMON_STOCK,HISTORY_OK,499,499,LIQUIDITY_OK,PREFERRED,20,49103714.52770196,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
41,WSSEC:WS:ISIN:INE019A01038,WS:ISIN:INE019A01038,XNSE,JSWSTEEL,BASE_1633,SRC_NIFTY50,COMMON_STOCK,HISTORY_OK,499,499,LIQUIDITY_OK,STANDARD,20,17852748.7545727,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
42,WSSEC:WS:ISIN:INE021A01026,WS:ISIN:INE021A01026,XNSE,ASIANPAINT,BASE_1633,SRC_NIFTY50,COMMON_STOCK,HISTORY_OK,499,499,LIQUIDITY_OK,STANDARD,20,16220135.40048803,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
43,WSSEC:WS:ISIN:INE027H01010,WS:ISIN:INE027H01010,XNSE,MAXHEALTH,BASE_1633,SRC_NIFTY50,COMMON_STOCK,HISTORY_OK,499,499,LIQUIDITY_OK,STANDARD,20,16669402.46399214,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
44,WSSEC:WS:ISIN:INE030A01027,WS:ISIN:INE030A01027,XNSE,HINDUNILVR,BASE_1633,SRC_NIFTY50,COMMON_STOCK,HISTORY_OK,499,499,LIQUIDITY_OK,PREFERRED,20,20713348.18266911,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
45,WSSEC:WS:ISIN:INE038A01020,WS:ISIN:INE038A01020,XNSE,HINDALCO,BASE_1633,SRC_NIFTY50,COMMON_STOCK,HISTORY_OK,498,498,LIQUIDITY_OK,PREFERRED,20,39056887.631969556,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
46,WSSEC:WS:ISIN:INE040A01034,WS:ISIN:INE040A01034,XNSE,HDFCBANK,BASE_1633,SRC_NIFTY50,COMMON_STOCK,HISTORY_OK,499,499,LIQUIDITY_OK,PREFERRED,20,142256035.2798948,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
47,WSSEC:WS:ISIN:INE044A01036,WS:ISIN:INE044A01036,XNSE,SUNPHARMA,BASE_1633,SRC_NIFTY50,COMMON_STOCK,HISTORY_OK,499,499,LIQUIDITY_OK,PREFERRED,20,26972774.333892286,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
48,WSSEC:WS:ISIN:INE047A01021,WS:ISIN:INE047A01021,XNSE,GRASIM,BASE_1633,SRC_NIFTY50,COMMON_STOCK,HISTORY_OK,498,498,LIQUIDITY_OK,PREFERRED,20,31639190.95997699,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
