Source_ID,Member_Count
AU1_EVIDENCE_ADMISSION_GATE,63
B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,37
SRC_CSI300,294
SRC_FTSE_TW50_CW_20260630,49
SRC_NIFTY50,45
SRC_NIKKEI225,197
US1_SP500_COMMON_EVIDENCE_GATE,372
US2_SP400_COMMON_ADMISSION,368
