WS_ID,Name,ISIN,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Primary_Universe_Index,Index_Tags,ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
SMOKE:UK:AZN,AstraZeneca plc,,United Kingdom,AZN,SMOKE_TEST_REFERENCE,XLON,GBP,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:UK:AZN,AZN.L,EXPLICIT,READY,,507,507,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T17:30:18+00:00,YF-20260823T173018060091-597c5a26,
SMOKE:UK:HSBA,HSBC Holdings plc,,United Kingdom,HSBA,SMOKE_TEST_REFERENCE,XLON,GBP,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:UK:HSBA,HSBA.L,EXPLICIT,READY,,506,506,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T17:30:18+00:00,YF-20260823T173018060091-597c5a26,
SMOKE:CH:NESN,Nestle SA,,Switzerland,NESN,SMOKE_TEST_REFERENCE,XSWX,CHF,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:CH:NESN,NESN.SW,EXPLICIT,READY,,500,500,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T17:30:18+00:00,YF-20260823T173018060091-597c5a26,
SMOKE:CH:NOVN,Novartis AG,,Switzerland,NOVN,SMOKE_TEST_REFERENCE,XSWX,CHF,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:CH:NOVN,NOVN.SW,EXPLICIT,READY,,500,500,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T17:30:18+00:00,YF-20260823T173018060091-597c5a26,
SMOKE:CH:ROG,Roche Holding AG,,Switzerland,ROG,SMOKE_TEST_REFERENCE,XSWX,CHF,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:CH:ROG,ROG.SW,EXPLICIT,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-08-23T17:30:17+00:00,YF-20260823T173015066925-83c1974c,NO_DATA_IN_BATCH
SMOKE:JP:7203,Toyota Motor Corp.,,Japan,7203,SMOKE_TEST_REFERENCE,XTKS,JPY,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:JP:7203,7203.T,EXPLICIT,READY,,488,488,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T17:30:18+00:00,YF-20260823T173018060091-597c5a26,
SMOKE:JP:6758,Sony Group Corp.,,Japan,6758,SMOKE_TEST_REFERENCE,XTKS,JPY,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:JP:6758,6758.T,EXPLICIT,READY,,488,488,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T17:30:18+00:00,YF-20260823T173018060091-597c5a26,
SMOKE:JP:9984,SoftBank Group Corp.,,Japan,9984,SMOKE_TEST_REFERENCE,XTKS,JPY,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:JP:9984,9984.T,EXPLICIT,READY,,488,488,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T17:30:19+00:00,YF-20260823T173019071641-54025576,
SMOKE:HK:700,Tencent Holdings Ltd.,,Hong Kong,700,SMOKE_TEST_REFERENCE,XHKG,HKD,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:HK:700,0700.HK,EXPLICIT,READY,,491,491,0,0,0.012219959266802444,2024-08-21,2026-08-21,2026-08-23T17:30:19+00:00,YF-20260823T173019071641-54025576,
SMOKE:HK:9988,Alibaba Group Holding Ltd.,,Hong Kong,9988,SMOKE_TEST_REFERENCE,XHKG,HKD,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:HK:9988,9988.HK,EXPLICIT,READY,,491,491,0,0,0.010183299389002037,2024-08-21,2026-08-21,2026-08-23T17:30:19+00:00,YF-20260823T173019071641-54025576,
