WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Primary_Currency,Currency_Normalized,Quote_Scale_To_Major_Currency,Instrument_Type,Instrument_Gate,Instrument_Gate_Reason,Scalable_Tradeability_Status,Cache_Status,Cache_Reason,Unique_Bars,Valid_Bars,FreeFloatMarketCap_EUR,FreeFloatMarketCap_Status,Usable20,Usable60,MedianTurnover20_EUR,MedianTurnover60_EUR,FX_Coverage20,FX_Coverage60,Liquidity_Data_Status,Liquidity_Last_Session,Liquidity_Gate,Liquidity_Bucket,Scalable_Gate,Strict_Eligibility,Blocking_Reasons
WS:XAMS:CSG.AS,CSG A,NL,EU_STOXX600,XAMS,CSG.AS,CSG.AS,EUR,EUR,1.0,UNKNOWN,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,WARMUP,INSUFFICIENT_HISTORY,148,148,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_WARMUP;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:XAMS:MICCT.AS,THE MAGNUM ICE CREAM COMPANY,NL,EU_STOXX600,XAMS,MICCT.AS,MICC.AS,EUR,EUR,1.0,UNKNOWN,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,WARMUP,INSUFFICIENT_HISTORY,179,179,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_WARMUP;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:XETR:AMV0N.DE,AUMOVIO,DE,EU_STOXX600,XETR,AMV0n.DE,AMV0.DE,EUR,EUR,1.0,UNKNOWN,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,WARMUP,INSUFFICIENT_HISTORY,234,234,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_WARMUP;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:XLON:ROR.L,ROTORK,GB,EU_STOXX600,XLON,ROR.L,ROR.L,GBP,GBP,0.01,UNKNOWN,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,507,507,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_QUARANTINE;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:XOSL:KMAR.OL,KONGSBERG MARITIME,NO,EU_STOXX600,XOSL,KMAR.OL,KMAR.OL,NOK,NOK,1.0,UNKNOWN,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,WARMUP,INSUFFICIENT_HISTORY,84,84,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_WARMUP;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:XPAR:ABVX.PA,ABIVAX,FR,EU_STOXX600,XPAR,ABVX.PA,ABVX.PA,EUR,EUR,1.0,UNKNOWN,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,511,511,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_QUARANTINE;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:XSTO:OCTVSDB.ST,OCTAVE INTELLIGENCE SDR,SE,EU_STOXX600,XSTO,OCTVsdb.ST,OCTV,SEK,SEK,1.0,UNKNOWN,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,WARMUP,INSUFFICIENT_HISTORY,64,64,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_WARMUP;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:XSTO:VSURE.ST,VERISURE,SE,EU_STOXX600,XSTO,VSURE.ST,VSURE.ST,EUR,EUR,1.0,UNKNOWN,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,WARMUP,INSUFFICIENT_HISTORY,1,1,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_WARMUP;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:XKRX:0126Z0,Samsung Epis,South Korea,KR_KOSPI200,XKRX,0126Z0,0126Z0.KS,KRW,KRW,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,WARMUP,INSUFFICIENT_HISTORY,181,181,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_WARMUP;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
WS:XNZE:THL,Tourism Holdings Limited,New Zealand,NZ_NZX50,XNZE,THL,THL.NZ,NZD,NZD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,499,499,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,0,0,,,0,0,NOT_EVALUATED_NON_READY,,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,PASS_OR_NOT_VERIFIED,FAIL,HISTORY_CACHE_QUARANTINE;INSTRUMENT_NOT_VERIFIED;LIQUIDITY_DATA_OR_FX_NOT_VERIFIED
