WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Primary_Currency,Currency_Normalized,Quote_Scale_To_Major_Currency,Instrument_Type,Instrument_Gate,Instrument_Gate_Reason,Scalable_Tradeability_Status,Cache_Status,Cache_Reason,Unique_Bars,Valid_Bars,FreeFloatMarketCap_EUR,FreeFloatMarketCap_Status,Usable20,Usable60,MedianTurnover20_EUR,MedianTurnover60_EUR,FX_Coverage20,FX_Coverage60,Liquidity_Data_Status,Liquidity_Last_Session,Liquidity_Gate,Liquidity_Bucket,Scalable_Gate,Strict_Eligibility,Blocking_Reasons
WS:XASX:BSL,BlueScope,Australia,AU_ASX200,XASX,BSL,BSL.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,ISOLATED_INVALID_BAR_EXCLUDED,508,507,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,28185113.268952124,25794466.423659444,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED
WS:XASX:BXB,Brambles,Australia,AU_ASX200,XASX,BXB,BXB.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,ISOLATED_INVALID_BAR_EXCLUDED,508,507,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,41218689.02623574,44820071.80399458,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED
WS:XASX:CAR,CAR Group,Australia,AU_ASX200,XASX,CAR,CAR.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,508,508,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,27996744.355697617,23598268.211746752,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED
WS:XASX:CBA,Commonwealth Bank,Australia,AU_ASX200,XASX,CBA,CBA.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,ISOLATED_INVALID_BAR_EXCLUDED,508,507,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,221377870.51410964,207345395.85572743,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED
WS:XASX:CMM,Capricorn Metals,Australia,AU_ASX200,XASX,CMM,CMM.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,508,508,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,16956914.064704336,16240862.933723288,20,60,OK,2026-08-21,PASS,STANDARD_15_TO_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED
WS:XASX:COH,Cochlear,Australia,AU_ASX200,XASX,COH,COH.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,508,508,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,29069069.047439247,30971607.678704422,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED
WS:XASX:COL,Coles Group,Australia,AU_ASX200,XASX,COL,COL.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,508,508,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,29017997.88752336,33139331.892146103,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED
WS:XASX:CPU,Computershare,Australia,AU_ASX200,XASX,CPU,CPU.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,508,508,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,35998028.71817793,32524855.494893365,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED
WS:XASX:CSL,CSL,Australia,AU_ASX200,XASX,CSL,CSL.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,508,508,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,94212770.68634072,105447526.79815137,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED
WS:XASX:DRO,Droneshield,Australia,AU_ASX200,XASX,DRO,DRO.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,508,508,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,17484700.539159287,13631311.302056432,20,60,OK,2026-08-21,PASS,STANDARD_15_TO_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED
