Duplicate_Type,Duplicate_Key,WS_ID,Name,Primary_Universe_Index,Primary_Ticker,Primary_MIC,ISIN
NORMALIZED_NAME,rb global,WS:US:RBA,RB Global,US_SP1500,RBA,,
NORMALIZED_NAME,midea,WS:XSHE:000333,"Midea Group CO., LTD",CN_CSI300,000333,XSHE,
NORMALIZED_NAME,midea,WS:XHKG:300,MIDEA GROUP,HK_HSI,300,XHKG,
NORMALIZED_NAME,byd,WS:XSHE:002594,BYD Co Ltd,CN_CSI300,002594,XSHE,
NORMALIZED_NAME,byd,WS:XHKG:1211,BYD COMPANY,HK_HSI,1211,XHKG,
NORMALIZED_NAME,cnooc,WS:XSHG:600938,CNOOC Limited,CN_CSI300,600938,XSHG,
NORMALIZED_NAME,cnooc,WS:XHKG:883,CNOOC,HK_HSI,883,XHKG,
NORMALIZED_NAME,china mobile,WS:XSHG:600941,China Mobile Limited,CN_CSI300,600941,XSHG,
NORMALIZED_NAME,china mobile,WS:XHKG:941,CHINA MOBILE,HK_HSI,941,XHKG,
NORMALIZED_NAME,china telecom,WS:XSHG:601728,China Telecom Corporation Limited,CN_CSI300,601728,XSHG,
NORMALIZED_NAME,china telecom,WS:XHKG:728,CHINA TELECOM,HK_HSI,728,XHKG,
NORMALIZED_NAME,petrochina,WS:XSHG:601857,PetroChina Co Ltd,CN_CSI300,601857,XSHG,
NORMALIZED_NAME,petrochina,WS:XHKG:857,PETROCHINA,HK_HSI,857,XHKG,
NORMALIZED_NAME,zijin mining,WS:XSHG:601899,Zijin Mining Group Co Ltd,CN_CSI300,601899,XSHG,
NORMALIZED_NAME,zijin mining,WS:XHKG:2899,ZIJIN MINING,HK_HSI,2899,XHKG,
NORMALIZED_NAME,bank of china,WS:XSHG:601988,Bank of China Ltd,CN_CSI300,601988,XSHG,
NORMALIZED_NAME,bank of china,WS:XHKG:3988,BANK OF CHINA,HK_HSI,3988,XHKG,
NORMALIZED_NAME,wuxi apptec,WS:XSHG:603259,"WuXi AppTec Co., Ltd.",CN_CSI300,603259,XSHG,
NORMALIZED_NAME,wuxi apptec,WS:XHKG:2359,WUXI APPTEC,HK_HSI,2359,XHKG,
NORMALIZED_NAME,prosus,WS:XAMS:PRX.AS,Prosus,EU_STOXX600,PRX.AS,XAMS,
NORMALIZED_NAME,prosus,WS:SRC:ZA_TOP40:302AA746912AD383,Prosus,ZA_TOP40,,XJSE,
NORMALIZED_NAME,anglo american,WS:XLON:AAL.L,ANGLO AMERICAN,EU_STOXX600,AAL.L,XLON,
NORMALIZED_NAME,anglo american,WS:SRC:ZA_TOP40:C46C9A1E2438665A,Anglo American,ZA_TOP40,,XJSE,
NORMALIZED_NAME,glencore,WS:XLON:GLEN.L,GLENCORE PLC,EU_STOXX600,GLEN.L,XLON,
NORMALIZED_NAME,glencore,WS:SRC:ZA_TOP40:856ED7B9E6CBDE42,Glencore,ZA_TOP40,,XJSE,
NORMALIZED_NAME,hsbc,WS:XLON:HSBA.L,HSBC,EU_STOXX600,HSBA.L,XLON,
NORMALIZED_NAME,hsbc,WS:XHKG:5,HSBC HOLDINGS,HK_HSI,5,XHKG,
NORMALIZED_NAME,investec,WS:XLON:INVP.L,INVESTEC,EU_STOXX600,INVP.L,XLON,
NORMALIZED_NAME,investec,WS:SRC:ZA_TOP40:13F6B84E5B9DFB4E,Investec PLC,ZA_TOP40,,XJSE,
NORMALIZED_NAME,investec,WS:SRC:ZA_TOP40:226ACE3524DC99B3,Investec Ltd,ZA_TOP40,,XJSE,
NORMALIZED_NAME,mondi,WS:XLON:MNDI.L,MONDI,EU_STOXX600,MNDI.L,XLON,
NORMALIZED_NAME,mondi,WS:SRC:ZA_TOP40:DFFDE2958F9E4E6C,Mondi,ZA_TOP40,,XJSE,
NORMALIZED_NAME,eqt,WS:XSTO:EQTAB.ST,EQT,EU_STOXX600,EQTAB.ST,XSTO,
NORMALIZED_NAME,eqt,WS:US:EQT,EQT Corporation,US_SP1500,EQT,,
NORMALIZED_NAME,softbank,WS:XTKS:9434,SOFTBANK CORP.,JP_N225,9434,XTKS,
NORMALIZED_NAME,softbank,WS:XTKS:9984,SOFTBANK GROUP CORP.,JP_N225,9984,XTKS,
NORMALIZED_NAME,orion,WS:XKRX:001800,Orion Holdings,KR_KOSPI200,001800,XKRX,
NORMALIZED_NAME,orion,WS:XKRX:271560,Orion,KR_KOSPI200,271560,XKRX,
NORMALIZED_NAME,amorepacific,WS:XKRX:002790,Amorepacific Holdings,KR_KOSPI200,002790,XKRX,
NORMALIZED_NAME,amorepacific,WS:XKRX:090430,Amorepacific,KR_KOSPI200,090430,XKRX,
NORMALIZED_NAME,youngone,WS:XKRX:009970,Youngone Holdings,KR_KOSPI200,009970,XKRX,
NORMALIZED_NAME,youngone,WS:XKRX:111770,Youngone,KR_KOSPI200,111770,XKRX,
NORMALIZED_NAME,oci,WS:XKRX:010060,OCI Holdings,KR_KOSPI200,010060,XKRX,
NORMALIZED_NAME,oci,WS:XKRX:456040,OCI,KR_KOSPI200,456040,XKRX,
