WS_ID,Name,Country,Primary_Universe_Index,Primary_Ticker,Primary_MIC,ISIN,Universe_Status,Yahoo_Symbol_Before,Yahoo_Symbol_After,Yahoo_Mapping_Status,Yahoo_Mapping_Confidence,Resolved_Exchange_Ticker_Candidate,Prior_Run_Status,Prior_Reason_Code,Search_Attempted,Search_Query,Search_Result_Name,Search_Result_Exchange,Search_Score,Search_Margin,Search_Reason,Identity_Issues,Needs_Review
WS:XASX:RYM,Ryman Healthcare,Australia,AU_ASX200,RYM,XASX,,ACTIVE_SOURCE_CAPTURED,,RYM.AX,DERIVED_RULE,0.93,RYM,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:SNZ,Summerset Group Holdings,Australia,AU_ASX200,SNZ,XASX,,ACTIVE_SOURCE_CAPTURED,,SNZ.AX,DERIVED_RULE,0.93,SNZ,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:SPK,Spark New Zealand,Australia,AU_ASX200,SPK,XASX,,ACTIVE_SOURCE_CAPTURED,,SPK.AX,DERIVED_RULE,0.93,SPK,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:WOW,Woolworths Group,Australia,AU_ASX200,WOW,XASX,,ACTIVE_SOURCE_CAPTURED,,WOW.AX,DERIVED_RULE,0.93,WOW,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:XYX,"Block, Inc.",Australia,AU_ASX200,XYX,XASX,,ACTIVE_SOURCE_CAPTURED,,XYX.AX,DERIVED_RULE,0.93,XYX,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XTSE:CS,Capstone Copper Corp.,Canada,CA_TSX,CS,XTSE,,ACTIVE_VERIFIED,,CS.TO,DERIVED_RULE,0.93,CS,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XTSE:NA,National Bank of Canada,Canada,CA_TSX,NA,XTSE,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.9,,MAPPING_PENDING,MISSING_PRIMARY_TICKER,True,National Bank of Canada,National Bank of Canada,TOR,0.9,0.0,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XTSE:NXE,NexGen Energy Ltd.,Canada,CA_TSX,NXE,XTSE,,ACTIVE_VERIFIED,,NXE.TO,DERIVED_RULE,0.93,NXE,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XTSE:RBA,RB Global Inc.,Canada,CA_TSX,RBA,XTSE,,ACTIVE_VERIFIED,,RBA.TO,DERIVED_RULE,0.93,RBA,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XSHE:000333,"Midea Group CO., LTD",China,CN_CSI300,000333,XSHE,,ACTIVE_VERIFIED,,000333.SZ,DERIVED_RULE,0.93,000333,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XSHE:002594,BYD Co Ltd,China,CN_CSI300,002594,XSHE,,ACTIVE_VERIFIED,,002594.SZ,DERIVED_RULE,0.93,002594,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XSHG:600938,CNOOC Limited,China,CN_CSI300,600938,XSHG,,ACTIVE_VERIFIED,,600938.SS,DERIVED_RULE,0.93,600938,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XSHG:600941,China Mobile Limited,China,CN_CSI300,600941,XSHG,,ACTIVE_VERIFIED,,600941.SS,DERIVED_RULE,0.93,600941,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XSHG:601728,China Telecom Corporation Limited,China,CN_CSI300,601728,XSHG,,ACTIVE_VERIFIED,,601728.SS,DERIVED_RULE,0.93,601728,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XSHG:601857,PetroChina Co Ltd,China,CN_CSI300,601857,XSHG,,ACTIVE_VERIFIED,,601857.SS,DERIVED_RULE,0.93,601857,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XSHG:601899,Zijin Mining Group Co Ltd,China,CN_CSI300,601899,XSHG,,ACTIVE_VERIFIED,,601899.SS,DERIVED_RULE,0.93,601899,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XSHG:601988,Bank of China Ltd,China,CN_CSI300,601988,XSHG,,ACTIVE_VERIFIED,,601988.SS,DERIVED_RULE,0.93,601988,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XSHG:603259,"WuXi AppTec Co., Ltd.",China,CN_CSI300,603259,XSHG,,ACTIVE_VERIFIED,,603259.SS,DERIVED_RULE,0.93,603259,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XAMS:AKZO.AS,AKZO NOBEL,NL,EU_STOXX600,AKZO.AS,XAMS,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.65,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,AKZO NOBEL,Akzo Nobel NV,DXE,0.65,0.0,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XAMS:ARDS.AS,ARCADIS,NL,EU_STOXX600,ARDS.AS,XAMS,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.65,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,ARCADIS,Arcadis NV,VIE,0.65,0.0,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XAMS:BAMN.AS,BAM GROEP KON.,NL,EU_STOXX600,BAMN.AS,XAMS,,ACTIVE_VERIFIED,,,SEARCH_NO_QUOTES,0.0,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,BAM GROEP KON.,,,,,SEARCH_NO_QUOTES,ISIN_NOT_VERIFIED,True
WS:XAMS:EXOR.AS,EXOR NV,NL,EU_STOXX600,EXOR.AS,XAMS,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.65,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,EXOR NV,EXOR NV,MUN,0.65,0.0,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XAMS:PHG.AS,PHILIPS,NL,EU_STOXX600,PHG.AS,XAMS,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.65,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,PHILIPS,PHILIPS,TLO,0.65,0.043333,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XAMS:PRX.AS,Prosus,NL,EU_STOXX600,PRX.AS,XAMS,,ACTIVE_VERIFIED,,PRX.AS,DERIVED_RULE_NORMALIZED,0.93,PRX,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XAMS:VOPA.AS,VOPAK,NL,EU_STOXX600,VOPA.AS,XAMS,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.561538,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,VOPAK,Koninklijke Vopak N.V.,AMS,0.561538,0.186538,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XBRU:WDPP.BR,WDP,BE,EU_STOXX600,WDPP.BR,XBRU,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.257143,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,WDP,The Walt Disney Co,DUS,0.257143,0.0,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XCSE:ALKB.CO,ALK-ABELLO B,DK,EU_STOXX600,ALKb.CO,XCSE,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.565385,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,ALK-ABELLO B,ALK-Abelló A/S,IOB,0.565385,0.565385,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XCSE:CARLB.CO,CARLSBERG B,DK,EU_STOXX600,CARLb.CO,XCSE,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.808333,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,CARLSBERG B,Carlsberg A/S,CPH,0.808333,0.25,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XCSE:COLOB.CO,COLOPLAST B,DK,EU_STOXX600,COLOb.CO,XCSE,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.808333,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,COLOPLAST B,Coloplast A/S,CPH,0.808333,0.25,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XCSE:MAERSKB.CO,A.P.MOLLER-MAERSK B,DK,EU_STOXX600,MAERSKb.CO,XCSE,,ACTIVE_VERIFIED,,,SEARCH_NO_QUOTES,0.0,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,A.P.MOLLER-MAERSK B,,,,,SEARCH_NO_QUOTES,ISIN_NOT_VERIFIED,True
WS:XCSE:NSISB.CO,NOVONESIS,DK,EU_STOXX600,NSISb.CO,XCSE,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.7,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,NOVONESIS,Novozymes A/S,CPH,0.7,0.25,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XCSE:ROCKB.CO,ROCKWOOL B,DK,EU_STOXX600,ROCKb.CO,XCSE,,ACTIVE_VERIFIED,,,SEARCH_NO_QUOTES,0.0,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,ROCKWOOL B,,,,,SEARCH_NO_QUOTES,ISIN_NOT_VERIFIED,True
WS:XDUB:KSP.I,KINGSPAN GRP,IE,EU_STOXX600,KSP.I,XDUB,,ACTIVE_VERIFIED,,,SEARCH_NO_QUOTES,0.0,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,KINGSPAN GRP,,,,,SEARCH_NO_QUOTES,ISIN_NOT_VERIFIED,True
WS:XDUB:KYGA.I,KERRY GRP,IE,EU_STOXX600,KYGa.I,XDUB,,ACTIVE_VERIFIED,,,SEARCH_NO_QUOTES,0.0,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,KERRY GRP,,,,,SEARCH_NO_QUOTES,ISIN_NOT_VERIFIED,True
WS:XETR:AG1G.DE,AUTO1 GROUP,DE,EU_STOXX600,AG1G.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.65,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,AUTO1 GROUP,AUTO1 Group,HAN,0.65,0.0,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XETR:BAYGN.DE,BAYER,DE,EU_STOXX600,BAYGn.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.625,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,BAYER,Bayer Aktiengesellschaft,GER,0.625,0.160417,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XETR:BEIG.DE,BEIERSDORF,DE,EU_STOXX600,BEIG.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.65,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,BEIERSDORF,Beiersdorf AG,DXE,0.65,0.0,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XETR:BMWG.DE,BMW,DE,EU_STOXX600,BMWG.DE,XETR,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.421739,,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,True,BMW,Bayerische Motoren Werke Aktiengesellschaft,GER,0.421739,0.046739,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
