Primary_Universe_Index,Target_Rows,Source_Name,Source_URL,Method,HTTP_Status,Content_Type,Bytes,SHA256,Probe_Status,Parse_Status,Matched_Rows,Coverage,Error
CA_TSX,105,TMX TSX Listed Company Directory,https://www.tsx.com/en/listings/listing-with-us/listed-company-directory,GET,200,text/html; charset=UTF-8,69820,ad160842fe8e13b190508e64462493b4fe22b64a789d349c03f27a122fc8c222,HTTP_OK,HTML_PROBED,,,
EU_STOXX600,365,STOXX Europe 600 Data / Reference Data,https://www.stoxx.com/data-index-details?symbol=SXXR,GET,,,0,,ERROR,NOT_ATTEMPTED,,,"SSLError: HTTPSConnectionPool(host='www.stoxx.com', port=443): Max retries exceeded with url: /data-index-details?symbol=SXXR (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010)')))"
HK_HSI,82,HKEX Full List of Securities,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,GET,200,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1397984,1ec0664563e7bed36bb45a8b4dca4f8f12265d3a540f575394a401c73b69fde7,HTTP_OK,PARSED_REFERENCE,82,1.0,
KR_KOSPI200,92,KRX Data Marketplace All Stock Basic Information,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd,POST,400,text/html; charset=utf-8,6,377b375adcc04b5ba5998c978372401a4c6327ccc218e17e383f72861085cb95,ERROR,NOT_ATTEMPTED,,,HTTPError: 400 Client Error: Bad Request for url: https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd
MX_IPC,6,BMV Empresas Listadas,https://www.bmv.com.mx/es/empresas-listadas,GET,200,text/html;charset=utf-8,154390,66b65676c4668078192d67afd6b475e99d7215186457c6ac0b49c14ab21be5d6,HTTP_OK,HTML_PROBED,,,
ZA_TOP40,17,JSE Reference Data Discovery,https://clientportal.jse.co.za/communication/jse-service-hotlines,GET,200,text/html; charset=utf-8,5627221,c1977b31754d5a890d86cd3b14be8879e025691a6f166da6adea6e07f30b9dee,HTTP_OK,HTML_PROBED,,,
