WS_ID,Primary_Universe_Index,Name,Yahoo_Symbol,Country,Lineage_Class_v0_22,In_Active_Source_v0_22,In_Full_Eligibility_v0_14,In_Strict_v0_14,In_Unresolved_Queue_v0_15,In_Research_Partial_v0_16
WS:XASX:BXB,AU_ASX200,Brambles,BXB.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:CAR,AU_ASX200,CAR Group,CAR.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:CBA,AU_ASX200,Commonwealth Bank,CBA.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:CDA,AU_ASX200,Codan,CDA.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:CEN,AU_ASX200,Contact Energy,CEN.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:CGF,AU_ASX200,Challenger,CGF.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:CHC,AU_ASX200,Charter Hall,CHC.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:CIA,AU_ASX200,Champion Iron,CIA.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:CIP,AU_ASX200,Centuria Industrial REIT,CIP.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:CLW,AU_ASX200,Charter Hall Long WALE REIT,CLW.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:CMM,AU_ASX200,Capricorn Metals,CMM.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:CNU,AU_ASX200,Chorus,CNU.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:COH,AU_ASX200,Cochlear,COH.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:COL,AU_ASX200,Coles Group,COL.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:CPU,AU_ASX200,Computershare,CPU.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:CQR,AU_ASX200,Charter Hall Retail REIT,CQR.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:CSC,AU_ASX200,Capstone Copper,CSC.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:CSL,AU_ASX200,CSL,CSL.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:CTD,AU_ASX200,Corporate Travel Management,CTD.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:CWY,AU_ASX200,Cleanaway,CWY.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:CYL,AU_ASX200,Catalyst Metals,CYL.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:DBI,AU_ASX200,Dalrymple Bay Infrastructure,DBI.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:DNL,AU_ASX200,Dyno Nobel,DNL.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:DOW,AU_ASX200,Downer Group,DOW.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:DRO,AU_ASX200,Droneshield,DRO.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:DRR,AU_ASX200,Deterra Royalties,DRR.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:DXS,AU_ASX200,Dexus,DXS.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:DYL,AU_ASX200,Deep Yellow,DYL.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:EBO,AU_ASX200,EBOS Group,EBO.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:EDV,AU_ASX200,Endeavour Group,EDV.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:EMR,AU_ASX200,Emerald Resources,EMR.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:EOS,AU_ASX200,Electro Optic Systems Holdings,EOS.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:EVN,AU_ASX200,Evolution Mining,EVN.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:EVT,AU_ASX200,EVT,EVT.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:FBU,AU_ASX200,Fletcher Building,FBU.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:FLT,AU_ASX200,Flight Centre Travel Group,FLT.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:FMG,AU_ASX200,Fortescue,FMG.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:FPH,AU_ASX200,Fisher & Paykel Healthcare,FPH.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:FRW,AU_ASX200,Freightways Group,FRW.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:GDG,AU_ASX200,Generation Development Group,GDG.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:GGP,AU_ASX200,Greatland Resources,GGP.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:GMD,AU_ASX200,Genesis Minerals,GMD.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:GMG,AU_ASX200,Goodman Group,GMG.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:GNE,AU_ASX200,Genesis Energy,GNE.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:GPT,AU_ASX200,GPT Group,GPT.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:GQG,AU_ASX200,GQG Partners,GQG.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:HDN,AU_ASX200,HomeCo Daily Needs REIT,HDN.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:HUB,AU_ASX200,HUB24,HUB.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:HVN,AU_ASX200,Harvey Norman,HVN.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:IAG,AU_ASX200,Insurance Australia Group,IAG.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
WS:XASX:IFL,AU_ASX200,Insignia Financial,IFL.AX,Australia,ABSENT_FROM_V0_14_FULL_ELIGIBILITY_REASON_NOT_CLASSIFIED_V0_22,True,False,False,False,False
WS:XASX:IFT,AU_ASX200,Infratil,IFT.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:IGO,AU_ASX200,IGO,IGO.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:ILU,AU_ASX200,Iluka Resources,ILU.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:IMD,AU_ASX200,IMDEX,IMD.AX,Australia,EXCLUDED_OTHER_NON_STRICT_REASON_NOT_CLASSIFIED_V0_22,True,True,False,False,False
WS:XASX:JBH,AU_ASX200,JB Hi-Fi,JBH.AX,Australia,INCLUDED_RESEARCH_PARTIAL_VERIFIED_STRICT,True,True,True,False,True
