ws_id,yahoo_symbol,price_rows,first_day,last_day
WS:BVMF:NATU3,NATU3.SA,297,2025-06-26,2026-08-31
WS:XAMS:CSG.AS,CSG.AS,154,2026-01-23,2026-08-31
WS:XOSL:KMAR.OL,KMAR.OL,90,2026-04-23,2026-08-31
WS:XPAR:ABVX.PA,ABVX.PA,509,2024-09-02,2026-08-31
