Logical_Batch,Phase,Repair_Pass,WS_ID_Count,Request_Start,Request_End_Exclusive
MAPPING_NORMAL_001,MAPPING_NORMAL,False,100,2024-09-01,2026-09-01
MAPPING_NORMAL_002,MAPPING_NORMAL,False,51,2024-09-01,2026-09-01
MAPPING_RESCUE_001,MAPPING_RESCUE,False,100,2024-09-01,2026-09-01
MAPPING_RESCUE_002,MAPPING_RESCUE,False,51,2024-09-01,2026-09-01
DQ_REPAIR_001,DQ_REPAIR,True,7,2024-09-01,2026-09-01
