WS_ID,Gap_Family,Diagnostic_Classification,Provider_Symbol,Request_Mode,Repair_Pass,Primary_MIC,Primary_Ticker,Primary_Currency,Name,Country,Primary_Universe_Index,Yahoo_Mapping_Status,Pre_Status,Pre_Reason,Pre_Price_Rows,Post_Status,Post_Reason,Post_Price_Rows,Post_Unique_Bars,Post_Valid_Bars,Post_Repaired_Rows,Post_Suspicious_Returns,Post_First_Day,Post_Last_Day,Provider_Data_Returned,Controlled_Result,Eligibility_Promoted,Universe_Mutated,Mapping_Override_Created
WS:XBRU:AGES.BR,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,AGES.BR,NORMAL_FIXED_WINDOW,False,XBRU,AGES.BR,EUR,AGEAS,BE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XBRU:AOO.BR,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,AOO.BR,NORMAL_FIXED_WINDOW,False,XBRU,AOO.BR,EUR,AEDIFICA,BE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XBRU:IETB.BR,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,IETB.BR,NORMAL_FIXED_WINDOW,False,XBRU,IETB.BR,EUR,D'IETEREN GROUP,BE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XBRU:WDPP.BR,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,WDPP.BR,NORMAL_FIXED_WINDOW,False,XBRU,WDPP.BR,EUR,WDP,BE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XCSE:ZELA.CO,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,ZELA.CO,NORMAL_FIXED_WINDOW,False,XCSE,ZELA.CO,DKK,ZEALAND PHARMA,DK,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:AG1G.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,AG1G.DE,NORMAL_FIXED_WINDOW,False,XETR,AG1G.DE,EUR,AUTO1 GROUP,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:ALVG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,ALVG.DE,NORMAL_FIXED_WINDOW,False,XETR,ALVG.DE,EUR,ALLIANZ,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:BC8G.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,BC8G.DE,NORMAL_FIXED_WINDOW,False,XETR,BC8G.DE,EUR,BECHTLE,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:BEIG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,BEIG.DE,NORMAL_FIXED_WINDOW,False,XETR,BEIG.DE,EUR,BEIERSDORF,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:BMWG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,BMWG.DE,NORMAL_FIXED_WINDOW,False,XETR,BMWG.DE,EUR,BMW,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:CBKG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,CBKG.DE,NORMAL_FIXED_WINDOW,False,XETR,CBKG.DE,EUR,COMMERZBANK,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:CONG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,CONG.DE,NORMAL_FIXED_WINDOW,False,XETR,CONG.DE,EUR,CONTINENTAL,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:EVDG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,EVDG.DE,NORMAL_FIXED_WINDOW,False,XETR,EVDG.DE,EUR,CTS EVENTIM,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:FMEG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,FMEG.DE,NORMAL_FIXED_WINDOW,False,XETR,FMEG.DE,EUR,FRESENIUS MEDICAL CARE,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:FRAG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,FRAG.DE,NORMAL_FIXED_WINDOW,False,XETR,FRAG.DE,EUR,FRAPORT,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:FREG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,FREG.DE,NORMAL_FIXED_WINDOW,False,XETR,FREG.DE,EUR,FRESENIUS,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:G1AG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,G1AG.DE,NORMAL_FIXED_WINDOW,False,XETR,G1AG.DE,EUR,GEA GRP,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:GBFG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,GBFG.DE,NORMAL_FIXED_WINDOW,False,XETR,GBFG.DE,EUR,BILFINGER,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XETR:HAGG.DE,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,HAGG.DE,NORMAL_FIXED_WINDOW,False,XETR,HAGG.DE,EUR,HENSOLDT,DE,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
