WS_ID,Name,Primary_Universe_Index,day,open,high,low,close,volume
WS:XKRX:006400,Samsung SDI,KR_KOSPI200,2024-10-14,365500.0,367000.0,358000.0,373000.0,318814.0
WS:XKRX:006400,Samsung SDI,KR_KOSPI200,2024-11-07,296000.0,298000.0,286000.0,298500.0,963012.0
WS:XKRX:007660,Isu Petasys,KR_KOSPI200,2024-10-14,36900.0,39900.0,36900.0,36300.0,3132772.0
WS:XKRX:007660,Isu Petasys,KR_KOSPI200,2026-03-27,110100.0,113000.0,106800.0,115000.0,878951.0
WS:XKRX:009830,Hanwha Solutions,KR_KOSPI200,2024-11-07,19910.0,19970.0,18310.0,20100.0,3451817.0
WS:XKRX:009830,Hanwha Solutions,KR_KOSPI200,2026-03-27,34850.0,35650.0,33600.0,36800.0,5559359.0
WS:XKRX:010120,LS Electric,KR_KOSPI200,2024-10-14,31640.0,34200.0,31640.0,31600.0,3164375.0
WS:XKRX:010120,LS Electric,KR_KOSPI200,2024-11-07,30220.0,31760.0,29760.0,29740.0,2348320.0
WS:XKRX:010140,Samsung Heavy Industries,KR_KOSPI200,2024-11-07,9970.0,10980.0,9970.0,9920.0,24408089.0
WS:XKRX:010140,Samsung Heavy Industries,KR_KOSPI200,2026-03-27,25700.0,26150.0,25000.0,26350.0,3215404.0
WS:XKRX:012450,Hanwha Aerospace,KR_KOSPI200,2024-11-07,395000.0,405500.0,389500.0,387500.0,702700.0
WS:XKRX:012450,Hanwha Aerospace,KR_KOSPI200,2026-03-27,1349000.0,1349000.0,1287000.0,1369000.0,205178.0
WS:XKRX:034020,Doosan Enerbility,KR_KOSPI200,2024-10-14,18200.0,18500.0,18150.0,18100.0,2294944.0
WS:XKRX:034020,Doosan Enerbility,KR_KOSPI200,2026-03-27,97700.0,99200.0,95100.0,100900.0,3549743.0
WS:XKRX:034220,LG Display,KR_KOSPI200,2025-04-09,7400.0,7540.0,7150.0,7620.0,1985671.0
WS:XKRX:034220,LG Display,KR_KOSPI200,2026-03-27,11350.0,11500.0,10930.0,11530.0,4167020.0
WS:XKRX:042700,Hanmi Semiconductor,KR_KOSPI200,2024-10-14,110200.0,116000.0,110200.0,109500.0,916860.0
WS:XKRX:042700,Hanmi Semiconductor,KR_KOSPI200,2025-04-09,59600.0,60700.0,58200.0,61200.0,973664.0
