Primary_Universe_Index,Original_Status,Rows
AU_ASX200,DOWNLOAD_FAILED,3
AU_ASX200,QUARANTINE,2
AU_ASX200,WARMUP,3
BR_IBRX100,QUARANTINE,1
BR_IBRX100,WARMUP,1
CA_TSX,QUARANTINE,2
CN_CSI300,WARMUP,1
EU_STOXX600,QUARANTINE,2
EU_STOXX600,WARMUP,6
KR_KOSPI200,QUARANTINE,11
KR_KOSPI200,WARMUP,1
MX_IPC,DOWNLOAD_FAILED,2
NZ_NZX50,DOWNLOAD_FAILED,3
NZ_NZX50,QUARANTINE,3
US_SP1500,DOWNLOAD_FAILED,1
US_SP1500,QUARANTINE,17
US_SP1500,STALE,1
US_SP1500,WARMUP,8
ZA_TOP40,QUARANTINE,17
