Issuer_Key,Name,n,MIC_A,MIC_B,Tickers,ISINs,Instrument_Types,Note
WUXI APPTEC,WUXI APPTEC,2,XHKG,XSHG,2359|603259,|,COMMON_STOCK|UNKNOWN,No merge across MIC.
ZIJIN MINING,ZIJIN MINING,2,XHKG,XSHG,2899|601899,|,COMMON_STOCK|UNKNOWN,No merge across MIC.
MIDEA,MIDEA GROUP,2,XHKG,XSHE,000333|300,|,COMMON_STOCK|UNKNOWN,No merge across MIC.
BANK OF CHINA,BANK OF CHINA,2,XHKG,XSHG,3988|601988,|,COMMON_STOCK|UNKNOWN,No merge across MIC.
PETROCHINA,PETROCHINA,2,XHKG,XSHG,601857|857,|,COMMON_STOCK|UNKNOWN,No merge across MIC.
CNOOC,CNOOC,2,XHKG,XSHG,600938|883,|,COMMON_STOCK|UNKNOWN,No merge across MIC.
CHINA MOBILE,CHINA MOBILE,2,XHKG,XSHG,600941|941,|,COMMON_STOCK|UNKNOWN,No merge across MIC.
