Primary_MIC,Rows,Unique_AsOf_Dates,AsOf_Dates,Benchmark_Groups,Min_Peer_Count,Max_Peer_Count,Temporal_Result
XNYS,506,2,2026-09-21|2026-09-24,US_SP400|US_SP500,367,371,PASS
XNAS,234,2,2026-09-21|2026-09-24,US_SP400|US_SP500,367,371,PASS
XASX,63,1,2026-09-22,AU_SP_ASX200,62,62,PASS
XTKS,197,1,2026-09-24,JP_N225,196,196,PASS
XTAI,49,1,2026-09-24,TW_TW50,48,48,PASS
XSHG,186,1,2026-09-24,CN_CSI300,293,293,PASS
XSHE,108,1,2026-09-24,CN_CSI300,293,293,PASS
XNSE,45,1,2026-09-24,IN_NIFTY50,44,44,PASS
BVMF,37,1,2026-09-24,BR_IBRX100,36,36,PASS
