Security_Key,Source_WS_ID,Primary_MIC,Primary_Universe_Index,security_asof,benchmark_peer_asof,future_peer_count,Result
WSSEC:WS:ISIN:INE040A01034,WS:ISIN:INE040A01034,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE044A01036,WS:ISIN:INE044A01036,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE047A01021,WS:ISIN:INE047A01021,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE062A01020,WS:ISIN:INE062A01020,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE066A01021,WS:ISIN:INE066A01021,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE081A01020,WS:ISIN:INE081A01020,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE089A01031,WS:ISIN:INE089A01031,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE090A01021,WS:ISIN:INE090A01021,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE101A01026,WS:ISIN:INE101A01026,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE154A01025,WS:ISIN:INE154A01025,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE155A01022,WS:ISIN:INE155A01022,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE213A01029,WS:ISIN:INE213A01029,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE237A01036,WS:ISIN:INE237A01036,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE238A01034,WS:ISIN:INE238A01034,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE239A01024,WS:ISIN:INE239A01024,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE263A01024,WS:ISIN:INE263A01024,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE280A01028,WS:ISIN:INE280A01028,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE296A01032,WS:ISIN:INE296A01032,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE397D01024,WS:ISIN:INE397D01024,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE423A01024,WS:ISIN:INE423A01024,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE437A01024,WS:ISIN:INE437A01024,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE467B01029,WS:ISIN:INE467B01029,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE481G01011,WS:ISIN:INE481G01011,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE522F01014,WS:ISIN:INE522F01014,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE585B01010,WS:ISIN:INE585B01010,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE646L01027,WS:ISIN:INE646L01027,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE669C01036,WS:ISIN:INE669C01036,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE721A01047,WS:ISIN:INE721A01047,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE733E01010,WS:ISIN:INE733E01010,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE742F01042,WS:ISIN:INE742F01042,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE752E01010,WS:ISIN:INE752E01010,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE758E01017,WS:ISIN:INE758E01017,XNSE,IN_NIFTY50,2026-09-24,2026-09-24,0,PASS
