Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Primary_Universe_Index,feature_as_of_date,sync_cohort_size,peer_count,R20_num,R60_num,HomeMarket_PeerMedian_R20_v0_58,HomeMarket_PeerMedian_R60_v0_58,HomeMarket_RS20_Excess_v0_58,HomeMarket_RS60_Excess_v0_58,HomeMarket_RS_Reference_Type_v0_58
18,WSSEC:WS:BVMF:MBRF3,WS:BVMF:MBRF3,BVMF,MBRF3,BR_IBRX100,2026-09-24,37,36,-0.094288795816575802,-0.0661111407809786,0.051027940028708946,0.041666668937319698,-0.14531673584528476,-0.1077778097182983,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
19,WSSEC:WS:BVMF:MGLU3,WS:BVMF:MGLU3,BVMF,MGLU3,BR_IBRX100,2026-09-24,37,36,0.3375796474968682,0.42212199432466868,0.035596581517548354,0.038095267613728806,0.30198306597931984,0.38402672671093985,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
20,WSSEC:WS:BVMF:MOTV3,WS:BVMF:MOTV3,BVMF,MOTV3,BR_IBRX100,2026-09-24,37,36,0.089403996514225703,0.14077674590187891,0.035596581517548354,0.038095267613728806,0.05380741499667735,0.10268147828815011,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
21,WSSEC:WS:BVMF:MULT3,WS:BVMF:MULT3,BVMF,MULT3,BR_IBRX100,2026-09-24,37,36,0.1363967819369771,0.078947394491024794,0.035596581517548354,0.038095267613728806,0.10080020041942875,0.040852126877295988,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
22,WSSEC:WS:BVMF:PETR3,WS:BVMF:PETR3,BVMF,PETR3,BR_IBRX100,2026-09-24,37,36,0.1783147958260751,0.3019003928119614,0.035596581517548354,0.038095267613728806,0.14271821430852674,0.26380512519823263,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
23,WSSEC:WS:BVMF:PRIO3,WS:BVMF:PRIO3,BVMF,PRIO3,BR_IBRX100,2026-09-24,37,36,-0.0008228972752098,0.15858773504977239,0.051027940028708946,0.038095267613728806,-0.051850837303918748,0.12049246743604358,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
24,WSSEC:WS:BVMF:RADL3,WS:BVMF:RADL3,BVMF,RADL3,BR_IBRX100,2026-09-24,37,36,-0.044536443645155702,0.10479041437432671,0.051027940028708946,0.038095267613728806,-0.095564383673864647,0.066695146760597901,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
25,WSSEC:WS:BVMF:RAIL3,WS:BVMF:RAIL3,BVMF,RAIL3,BR_IBRX100,2026-09-24,37,36,0.087731303604143801,0.2050113738514813,0.035596581517548354,0.038095267613728806,0.052134722086595447,0.16691610623775249,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
26,WSSEC:WS:BVMF:RDOR3,WS:BVMF:RDOR3,BVMF,RDOR3,BR_IBRX100,2026-09-24,37,36,0.066572304238215099,0.075099972408257901,0.035596581517548354,0.038095267613728806,0.030975722720666746,0.037004704794529095,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
27,WSSEC:WS:BVMF:RENT3,WS:BVMF:RENT3,BVMF,RENT3,BR_IBRX100,2026-09-24,37,36,0.093502751862143393,-0.057692371980139698,0.035596581517548354,0.041666668937319698,0.05790617034459504,-0.099359040917459396,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
