Field,Rows,NaN_or_Null,PosInf,NegInf
HomeMarket_PeerMedian_R20_v0_58,1425,0,0,0
HomeMarket_PeerMedian_R60_v0_58,1425,0,0,0
HomeMarket_RS20_Excess_v0_58,1425,0,0,0
HomeMarket_RS60_Excess_v0_58,1425,0,0,0
