WS_ID,Yahoo_Symbol,Primary_Ticker,Reason,Verified_UTC
WS:XWAR:INGP.WA,ING.WA,INGP.WA,RIC/source ticker differs from Yahoo symbol,2026-08-23
WS:XETR:MRCG.DE,MRK.DE,MRCG.DE,RIC/source ticker differs from Yahoo symbol,2026-08-23
WS:XAMS:HEIN.AS,HEIA.AS,HEIN.AS,RIC/source ticker differs from Yahoo symbol,2026-08-23
WS:XLON:WISEA.L,WISE.L,WISEa.L,RIC/source ticker differs from Yahoo symbol,2026-08-23
WS:XAMS:WLSNC.AS,WKL.AS,WLSNc.AS,RIC/source ticker differs from Yahoo symbol,2026-08-23
WS:XLON:LMPL.L,LMP.L,LMPL.L,RIC/source ticker differs from Yahoo symbol,2026-08-23
WS:XLON:BAES.L,BA.L,BAES.L,RIC/source ticker differs from Yahoo symbol,2026-08-23
WS:XSTO:EQTAB.ST,EQT.ST,EQTAB.ST,RIC/source ticker differs from Yahoo symbol,2026-08-23
WS:XETR:P911_P.DE,P911.DE,P911_p.DE,RIC/source ticker differs from Yahoo symbol,2026-08-23
