JSE_Instrument_Type,Rows
Aord,5
Barrier,3
Basket,435
Bord,3
Comp,111
Deb,5
ETF,152
Index,670
KR,4
NilPL,3
Nord,6
Ordinary,289
PL,1
PS,33
Securities,190
UT,12635
Vanilla,44
