WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:SRC:ZA_TOP40:FA44132B238E6795,Discovery,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:92DB8C1EE0FA61A7,Exxaro,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:B9672938BA6AA893,FirstRand,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:856ED7B9E6CBDE42,Glencore,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:A707BAE04D25DE84,Gold Fields,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:8D915874D6D1F74D,Growthpoint Properties,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:269DEF2006BCDC3A,Implats,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:226ACE3524DC99B3,Investec Ltd,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:13F6B84E5B9DFB4E,Investec PLC,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:DFFDE2958F9E4E6C,Mondi,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:E375AA9FC9B15D90,Mr Price Group,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:FBAF8D9D0C6FF09E,MTN Group,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:8096AB44770BB485,MultiChoice,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:EAB90E933A288100,Naspers,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:3A0242B9DA294CBC,Nedbank,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:1EFE66E75F1BEAE6,NEPI Rockcastle,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:E73C0A06AFFB5795,Northam Platinum,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:DE0F69D92EFF3FE9,Old Mutual,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:302AA746912AD383,Prosus,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:D7462C43096E07C0,Reinet Investments,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:9CADEA732F4AE055,Remgro,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:826AEDDC44AC58D6,RMH,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:3598A879F2EA6E99,Sanlam,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:3CA42D3A25639D8E,Sasol,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:CBBAA587AD49B821,Shoprite,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:CCFFACA1ACD941D3,Standard Bank,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:119B9827CB58256B,Valterra Platinum,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:5F247CB49B9B155E,Vodacom,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
WS:SRC:ZA_TOP40:670585B513E60D68,Woolworths Holdings,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit
