WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:XMEX:GAPB,Grupo Aeroportuario del Pacífico,,UNVERIFIED_EQUITY_SECURITY,Mexico,GAP B,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:GCARSOA1,Grupo Carso,,UNVERIFIED_EQUITY_SECURITY,Mexico,GCARSO A1,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:GCC,Grupo Cementos de Chihuahua,,UNVERIFIED_EQUITY_SECURITY,Mexico,GCC,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:GFINBURO,Inbursa,,UNVERIFIED_EQUITY_SECURITY,Mexico,GFINBUR O,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:GFNORTEO,Banorte,,UNVERIFIED_EQUITY_SECURITY,Mexico,GFNORTE O,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:GMEXICOB,Grupo México,,UNVERIFIED_EQUITY_SECURITY,Mexico,GMEXICO B,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:GRUMAB,Gruma,,UNVERIFIED_EQUITY_SECURITY,Mexico,GRUMA B,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:KIMBERA,Kimberly-Clark de México,,UNVERIFIED_EQUITY_SECURITY,Mexico,KIMBER A,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:KOFUBL,Coca-Cola FEMSA,,UNVERIFIED_EQUITY_SECURITY,Mexico,KOFUBL,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:LABB,Genomma Lab Internacional,,UNVERIFIED_EQUITY_SECURITY,Mexico,LAB B,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:LIVEPOLC-1,El Puerto de Liverpool,,UNVERIFIED_EQUITY_SECURITY,Mexico,LIVEPOL C-1,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:MEGACPO,Megacable,,UNVERIFIED_EQUITY_SECURITY,Mexico,MEGA CPO,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:OMAB,Grupo Aeroportuario Centro Norte,,UNVERIFIED_EQUITY_SECURITY,Mexico,OMA B,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:ORBIA,Orbia,,UNVERIFIED_EQUITY_SECURITY,Mexico,ORBIA,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:PE&OLES,Peñoles,,UNVERIFIED_EQUITY_SECURITY,Mexico,PE&OLES,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:PINFRA,Pinfra,,UNVERIFIED_EQUITY_SECURITY,Mexico,PINFRA,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:Q,Quálitas,,UNVERIFIED_EQUITY_SECURITY,Mexico,Q,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:RA,Regional,,UNVERIFIED_EQUITY_SECURITY,Mexico,R A,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:TLEVISACPO,Televisa,,UNVERIFIED_EQUITY_SECURITY,Mexico,TLEVISA CPO,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:VESTA,Corporación Inmobiliaria Vesta,,UNVERIFIED_EQUITY_SECURITY,Mexico,VESTA,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:VOLARA,Volaris,,UNVERIFIED_EQUITY_SECURITY,Mexico,VOLAR A,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
WS:XMEX:WALMEX,Walmart de México y Centroamérica,,UNVERIFIED_EQUITY_SECURITY,Mexico,WALMEX,Bolsa Mexicana de Valores,XMEX,MXN,,,MX_IPC,MX_IPC,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,MX_IPC_WIKI,2026-08-23,2026-08-23T21:30:41.619221+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/Indice_de_Precios_y_Cotizaciones; identity/provider mapping pending
