WS_ID,Yahoo_Symbol,Mapping_Status,Instrument_Type_Before,Instrument_Type_After,Verified_Share_Class,Share_Class_After,Class_Bucket,Action,Universe_Write_Fields
WS:XLON:RS1R.L,RS1.L,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XLON:SHCS.L,SHC.L,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XLON:SJP.L,STJ.L,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XLON:TCAPI.L,TCAP.L,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMAD:AMA.MC,AMS.MC,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / acciones ordinarias,ordinary shares / acciones ordinarias,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMAD:ENAG.MC,ENG.MC,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / acciones ordinarias,ordinary shares / acciones ordinarias,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMAD:GRLS.MC,GRF.MC,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,Class A ordinary shares / acciones clase A,Class A ordinary shares / acciones clase A,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMAD:PUIGB.MC,PUIG.MC,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,Class B ordinary shares,Class B ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMAD:REDE.MC,RED.MC,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / acciones ordinarias,ordinary shares / acciones ordinarias,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMAD:SABE.MC,SAB.MC,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / acciones ordinarias,ordinary shares / acciones ordinarias,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMIL:A2.MI,A2A.MI,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / azioni ordinarie,ordinary shares / azioni ordinarie,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XMIL:AZMT.MI,AZM.MI,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares / azioni ordinarie,ordinary shares / azioni ordinarie,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
