Security_Key,Source_WS_ID,R1_Materialized,R1_Independent,R1_Exact,TrueRange_Current_Materialized,TrueRange_Current_Independent,TrueRange_Current_Exact
WSSEC:WS:XNYS:AME,WS:XNYS:AME,0.005234362186633756,0.005234362186633756,True,5.8899993896484375,5.8899993896484375,True
WSSEC:WS:XNYS:AMG,WS:XNYS:AMG,0.02490167558492451,0.02490167558492451,True,10.33001708984375,10.33001708984375,True
WSSEC:WS:XNYS:AMP,WS:XNYS:AMP,-0.03508425853466701,-0.03508425853466701,True,29.6199951171875,29.6199951171875,True
WSSEC:WS:XNYS:AN,WS:XNYS:AN,0.0027928055110444383,0.0027928055110444383,True,5.529998779296875,5.529998779296875,True
WSSEC:WS:XNYS:ANF,WS:XNYS:ANF,0.007365940191973452,0.007365940191973452,True,4.1200103759765625,4.1200103759765625,True
WSSEC:WS:XNYS:AOS,WS:XNYS:AOS,-0.0006927764870894304,-0.0006927764870894304,True,1.0799980163574219,1.0799980163574219,True
WSSEC:WS:XNYS:APD,WS:XNYS:APD,-0.008642056576571577,-0.008642056576571577,True,4.3900146484375,4.3900146484375,True
WSSEC:WS:XNYS:APG,WS:XNYS:APG,0.0018721501997027712,0.0018721501997027712,True,0.9200019836425781,0.9200019836425781,True
WSSEC:WS:XNYS:APH,WS:XNYS:APH,0.01082856020454459,0.01082856020454459,True,3.4799957275390625,3.4799957275390625,True
WSSEC:WS:XNYS:AR,WS:XNYS:AR,-0.025817599257633272,-0.025817599257633272,True,1.1399993896484375,1.1399993896484375,True
WSSEC:WS:XNYS:ARES,WS:XNYS:ARES,-0.011277598853505766,-0.011277598853505766,True,5.180000305175781,5.180000305175781,True
WSSEC:WS:XNYS:ARMK,WS:XNYS:ARMK,0.0005314221238517103,0.0005314221238517103,True,0.7700004577636719,0.7700004577636719,True
WSSEC:WS:XNYS:ARW,WS:XNYS:ARW,-0.0009575097232948915,-0.0009575097232948915,True,6.7599945068359375,6.7599945068359375,True
WSSEC:WS:XNYS:ASB,WS:XNYS:ASB,-0.01011460683088039,-0.01011460683088039,True,0.5399990081787109,0.5399990081787109,True
WSSEC:WS:XNYS:ASH,WS:XNYS:ASH,0.0,0.0,True,1.3699951171875,1.3699951171875,True
WSSEC:WS:XNYS:ATI,WS:XNYS:ATI,-0.012889428365947198,-0.012889428365947198,True,5.9199981689453125,5.9199981689453125,True
WSSEC:WS:XNYS:ATO,WS:XNYS:ATO,0.0011520268142151124,0.0011520268142151124,True,1.69000244140625,1.69000244140625,True
WSSEC:WS:XNYS:ATR,WS:XNYS:ATR,-0.008357448530403544,-0.008357448530403544,True,2.660003662109375,2.660003662109375,True
WSSEC:WS:XNYS:AVNT,WS:XNYS:AVNT,0.0019821113763041076,0.0019821113763041076,True,0.6000022888183594,0.6000022888183594,True
WSSEC:WS:XNYS:AVTR,WS:XNYS:AVTR,-0.027061859787758324,-0.027061859787758324,True,0.5500001907348633,0.5500001907348633,True
WSSEC:WS:XNYS:AVY,WS:XNYS:AVY,-0.021139864924458074,-0.021139864924458074,True,4.9499969482421875,4.9499969482421875,True
WSSEC:WS:XNYS:AWK,WS:XNYS:AWK,-0.011498563109646365,-0.011498563109646365,True,3.350006103515625,3.350006103515625,True
WSSEC:WS:XNYS:AXP,WS:XNYS:AXP,0.012253319352678815,0.012253319352678815,True,5.980010986328125,5.980010986328125,True
WSSEC:WS:XNYS:AXTA,WS:XNYS:AXTA,-0.010559010699751736,-0.010559010699751736,True,0.8100013732910156,0.8100013732910156,True
WSSEC:WS:XNYS:AYI,WS:XNYS:AYI,0.011552680547652239,0.011552680547652239,True,8.6199951171875,8.6199951171875,True
