Security_Key,Source_WS_ID,Family,Constituents,Missing_Constituents,Binding_Status,Numeric_Family_Column_Created
WSSEC:WS:BVMF:SUZB3,WS:BVMF:SUZB3,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:BVMF:TIMS3,WS:BVMF:TIMS3,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:BVMF:TOTS3,WS:BVMF:TOTS3,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:BVMF:UGPA3,WS:BVMF:UGPA3,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:BVMF:VALE3,WS:BVMF:VALE3,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:BVMF:VBBR3,WS:BVMF:VBBR3,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:BVMF:VIVT3,WS:BVMF:VIVT3,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:BVMF:WEGE3,WS:BVMF:WEGE3,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE002A01018,WS:ISIN:INE002A01018,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE009A01021,WS:ISIN:INE009A01021,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE018A01030,WS:ISIN:INE018A01030,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE019A01038,WS:ISIN:INE019A01038,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE021A01026,WS:ISIN:INE021A01026,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE027H01010,WS:ISIN:INE027H01010,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE030A01027,WS:ISIN:INE030A01027,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE038A01020,WS:ISIN:INE038A01020,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE040A01034,WS:ISIN:INE040A01034,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE044A01036,WS:ISIN:INE044A01036,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE047A01021,WS:ISIN:INE047A01021,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE062A01020,WS:ISIN:INE062A01020,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE066A01021,WS:ISIN:INE066A01021,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE081A01020,WS:ISIN:INE081A01020,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE089A01031,WS:ISIN:INE089A01031,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE090A01021,WS:ISIN:INE090A01021,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE101A01026,WS:ISIN:INE101A01026,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE154A01025,WS:ISIN:INE154A01025,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE155A01022,WS:ISIN:INE155A01022,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE213A01029,WS:ISIN:INE213A01029,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:ISIN:INE237A01036,WS:ISIN:INE237A01036,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
