Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,excluded_date,raw_bar_present,excluded_from_feature_input,new11_exact_filtered_formula,source_defect_provenance_retained,Result
WSSEC:WS:XASX:ANZ,WS:XASX:ANZ,XASX,ANZ,2024-11-15,True,True,True,True,PASS
WSSEC:WS:XASX:BSL,WS:XASX:BSL,XASX,BSL,2024-11-15,True,True,True,True,PASS
WSSEC:WS:XASX:BXB,WS:XASX:BXB,XASX,BXB,2024-11-15,True,True,True,True,PASS
WSSEC:WS:XASX:CBA,WS:XASX:CBA,XASX,CBA,2024-11-15,True,True,True,True,PASS
WSSEC:WS:XASX:NXT,WS:XASX:NXT,XASX,NXT,2024-11-15,True,True,True,True,PASS
WSSEC:WS:XASX:PME,WS:XASX:PME,XASX,PME,2024-11-15,True,True,True,True,PASS
WSSEC:WS:XASX:QAN,WS:XASX:QAN,XASX,QAN,2024-11-15,True,True,True,True,PASS
WSSEC:WS:XASX:SDF,WS:XASX:SDF,XASX,SDF,2024-11-15,True,True,True,True,PASS
