Security_Key,Source_WS_ID,Feature,Materialized,Independent,Exact_Match
WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,RangeCompression_10_20,0.46798026316716695,0.46798026316716695,True
WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,RVOL20,1.178356035937196,1.178356035937196,True
WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,Gap_Over_ATR14,0.0,0.0,True
WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,DailyMove_Over_ATR14,-0.8527637900646848,-0.8527637900646848,True
WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,Dist_High20,-0.07869967114143073,-0.07869967114143073,True
WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,Dist_High60,-0.07869967114143073,-0.07869967114143073,True
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,EMA20_Slope_5,-0.0074606227331665,-0.0074606227331665,True
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,EMA50_Slope_10,0.0025530934792423743,0.0025530934792423743,True
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,Range5_Pct,0.06551459596433175,0.06551459596433175,True
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,Range10_Pct,0.06654634512747455,0.06654634512747455,True
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,RangeCompression_5_20,0.5893271708143004,0.5893271708143004,True
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,RangeCompression_10_20,0.598608122735854,0.598608122735854,True
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,RVOL20,0.6231417600101974,0.6231417600101974,True
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,Gap_Over_ATR14,0.019634613165725612,0.019634613165725612,True
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,DailyMove_Over_ATR14,-0.08835388678599358,-0.08835388678599358,True
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,Dist_High20,-0.09795251580529918,-0.09795251580529918,True
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,Dist_High60,-0.09795251580529918,-0.09795251580529918,True
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,EMA20_Slope_5,0.010830937549928255,0.010830937549928255,True
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,EMA50_Slope_10,0.023855785681160535,0.023855785681160535,True
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,Range5_Pct,0.04025553841040708,0.04025553841040708,True
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,Range10_Pct,0.04728433157544441,0.04728433157544441,True
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,RangeCompression_5_20,0.3480657539847507,0.3480657539847507,True
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,RangeCompression_10_20,0.4088395577692035,0.4088395577692035,True
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,RVOL20,0.700387724865415,0.700387724865415,True
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,Gap_Over_ATR14,0.24736600746475246,0.24736600746475246,True
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,DailyMove_Over_ATR14,-0.43289198748102337,-0.43289198748102337,True
