WS_ID,Evidence_Primary_URL,Evidence_Provider_URL,Evidence_Secondary_URL,Evidence_AsOf_UTC,Evidence_Status
WS:XETR:IFXGN.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:LEGN.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:LHAG.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:MBGN.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:MTXGN.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:MUVGN.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:NAFG.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:NDXG.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:NEKG.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:PSHG_P.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:PUMG.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:RAAG.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:RHMG.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:RWEG.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:SAPG.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:SATG_P.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:SDFGN.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:SHLG.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:SIEGN.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:SY1G.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:TEGG.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:TKAG.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:TLXGN.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:TUI1N.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:VNAN.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:VOWG_P.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:ZALG.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XHEL:KCRA.HE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XHEL:NDAFI.HE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XLON:ADML.L,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XLON:AUTOA.L,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XLON:BALF.L,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XLON:BBOXT.L,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XLON:BEZG.L,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XLON:BKGH.L,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
