WS_ID,Yahoo_Symbol,Liquidity_Class,MedianTurnover20_EUR,Usable20,FX,Quote_Scale
US1:US12503M1080:XNAS,CBOE,PREFERRED,207079827.3,20,USDEUR=X,1
US1:US12514G1085:XNAS,CDW,PREFERRED,182952508.46,20,USDEUR=X,1
US1:US03073E1055:XNYS,COR,PREFERRED,316431810.13,20,USDEUR=X,1
US1:US15135B1017:XNYS,CNC,PREFERRED,197027101.89,20,USDEUR=X,1
US1:US15189T1079:XNYS,CNP,PREFERRED,181781683.37,20,USDEUR=X,1
US1:US1252691001:XNYS,CF,PREFERRED,261047331.57,20,USDEUR=X,1
US1:US1598641074:XNYS,CRL,PREFERRED,224757329.12,20,USDEUR=X,1
US1:US8085131055:XNYS,SCHW,PREFERRED,624016184.24,20,USDEUR=X,1
US1:US16117M3051:XNAS,CHTR,PREFERRED,258077629.83,20,USDEUR=X,1
US1:US1667641005:XNYS,CVX,PREFERRED,1369762036.14,20,USDEUR=X,1
US1:US1696561059:XNYS,CMG,PREFERRED,430211145.46,20,USDEUR=X,1
US1:US1712321017:XNYS,CB,PREFERRED,506452893.02,20,USDEUR=X,1
US1:US1713401024:XNYS,CHD,PREFERRED,136369051.37,20,USDEUR=X,1
US1:US1255091092:XNYS,CI,PREFERRED,338089953.53,20,USDEUR=X,1
US1:US1720621010:XNAS,CINF,PREFERRED,62962435.75,20,USDEUR=X,1
US1:US1729081059:XNAS,CTAS,PREFERRED,291211512.96,20,USDEUR=X,1
US1:US17275R1023:XNAS,CSCO,PREFERRED,1523299869.4,20,USDEUR=X,1
US1:US1729674242:XNYS,C,PREFERRED,863825463.42,20,USDEUR=X,1
US1:US1746101054:XNYS,CFG,PREFERRED,171727360.62,20,USDEUR=X,1
US1:US1890541097:XNYS,CLX,PREFERRED,193069336.68,20,USDEUR=X,1
US1:US12572Q1058:XNAS,CME,PREFERRED,412483460.63,20,USDEUR=X,1
US1:US1258961002:XNYS,CMS,PREFERRED,196178456.62,20,USDEUR=X,1
US1:US1912161007:XNYS,KO,PREFERRED,1088956433.09,20,USDEUR=X,1
US1:US1924461023:XNAS,CTSH,PREFERRED,318653805.59,20,USDEUR=X,1
US1:US19260Q1076:XNAS,COIN,PREFERRED,1287811144.82,20,USDEUR=X,1
US1:US1941621039:XNYS,CL,PREFERRED,309883754.34,20,USDEUR=X,1
US1:US20030N2001:XNAS,CMCSA,PREFERRED,467743028.89,20,USDEUR=X,1
US1:US1999081045:XNYS,FIX,PREFERRED,498572335.65,20,USDEUR=X,1
US1:US20825C1045:XNYS,COP,PREFERRED,706440433.46,20,USDEUR=X,1
US1:US2091151041:XNYS,ED,PREFERRED,195091520.03,20,USDEUR=X,1
US1:US21036P1084:XNYS,STZ,PREFERRED,184253320.72,20,USDEUR=X,1
US1:US2166484020:XNYS,COO,PREFERRED,96170275.67,20,USDEUR=X,1
US1:US2172041061:XNAS,CPRT,PREFERRED,234729296.63,20,USDEUR=X,1
US1:US2193501051:XNYS,GLW,PREFERRED,1156982882.21,20,USDEUR=X,1
US1:US3390411052:XNYS,CPAY,PREFERRED,164827611.11,20,USDEUR=X,1
US1:US22052L1044:XNYS,CTVA,PREFERRED,279855576.84,20,USDEUR=X,1
US1:US22160K1051:XNAS,COST,PREFERRED,1415279788.45,20,USDEUR=X,1
US1:US22788C1053:XNAS,CRWD,PREFERRED,1498019092.08,20,USDEUR=X,1
US1:US2310211063:XNYS,CMI,PREFERRED,442786537.97,20,USDEUR=X,1
US1:US1266501006:XNYS,CVS,PREFERRED,525770860.01,20,USDEUR=X,1
US1:US2358511028:XNYS,DHR,PREFERRED,526127400.95,20,USDEUR=X,1
US1:US2371941053:XNYS,DRI,PREFERRED,172148408.34,20,USDEUR=X,1
US1:US23804L1035:XNAS,DDOG,PREFERRED,798467100.66,20,USDEUR=X,1
US1:US23918K1088:XNYS,DVA,PREFERRED,84357432.06,20,USDEUR=X,1
US1:US2441991054:XNYS,DE,PREFERRED,637290845.96,20,USDEUR=X,1
US1:US2473617023:XNYS,DAL,PREFERRED,335357520.08,20,USDEUR=X,1
US1:US25179M1036:XNYS,DVN,PREFERRED,362453563.58,20,USDEUR=X,1
US1:US2521311074:XNAS,DXCM,PREFERRED,295758010.22,20,USDEUR=X,1
US1:US25278X1090:XNAS,FANG,PREFERRED,298334758.46,20,USDEUR=X,1
US1:US2566771059:XNYS,DG,PREFERRED,225918649.83,20,USDEUR=X,1
US1:US2567461080:XNAS,DLTR,PREFERRED,227682397.07,20,USDEUR=X,1
US1:US25746U1097:XNYS,D,PREFERRED,185863018.13,20,USDEUR=X,1
US1:US25754A2015:XNYS,DPZ,PREFERRED,209150846.61,20,USDEUR=X,1
US1:US2600031080:XNYS,DOV,PREFERRED,170456400.58,20,USDEUR=X,1
US1:US23331A1097:XNYS,DHI,PREFERRED,221475861.17,20,USDEUR=X,1
US1:US26441C2044:XNYS,DUK,PREFERRED,357880957.56,20,USDEUR=X,1
US1:US2635341090:XNYS,DD,PREFERRED,136512433.71,20,USDEUR=X,1
US1:US2786421030:XNAS,EBAY,PREFERRED,351005881.03,20,USDEUR=X,1
US1:US2787681061:XNAS,ECHO,PREFERRED,181750699.25,20,USDEUR=X,1
US1:US2788651006:XNYS,ECL,PREFERRED,336760558.34,20,USDEUR=X,1
US1:US2810201077:XNYS,EIX,PREFERRED,224171385.06,20,USDEUR=X,1
US1:US28176E1082:XNYS,EW,PREFERRED,213449310.9,20,USDEUR=X,1
US1:US0367521038:XNYS,ELV,PREFERRED,298878287.15,20,USDEUR=X,1
US1:US29084Q1004:XNYS,EME,PREFERRED,220189662.73,20,USDEUR=X,1
US1:US2910111044:XNYS,EMR,PREFERRED,288213118.32,20,USDEUR=X,1
US1:US29364G1031:XNYS,ETR,PREFERRED,183978791.11,20,USDEUR=X,1
US1:US26875P1012:XNYS,EOG,PREFERRED,333754644.98,20,USDEUR=X,1
US1:US26884L1098:XNYS,EQT,PREFERRED,295845735.84,20,USDEUR=X,1
US1:US2944291051:XNYS,EFX,PREFERRED,145545440.31,20,USDEUR=X,1
US1:US5184391044:XNYS,EL,PREFERRED,287074695.36,20,USDEUR=X,1
US1:US30034W1062:XNYS,EVRG,PREFERRED,142339304.54,20,USDEUR=X,1
US1:US30040W1080:XNYS,ES,PREFERRED,109479836.64,20,USDEUR=X,1
US1:US30161N1019:XNYS,EXC,PREFERRED,202932250.03,20,USDEUR=X,1
US1:US1651671075:XNAS,EXE,PREFERRED,186930529.91,20,USDEUR=X,1
US1:US30212P3038:XNAS,EXPE,PREFERRED,379727409.95,20,USDEUR=X,1
US1:US3021301094:XNAS,EXPD,PREFERRED,117482345.67,20,USDEUR=X,1
US1:US30231G1022:XNYS,XOM,PREFERRED,1921899582.53,20,USDEUR=X,1
US1:US3156161024:XNAS,FFIV,PREFERRED,158511457.56,20,USDEUR=X,1
US1:US3030751057:XNYS,FDS,PREFERRED,172536829.46,20,USDEUR=X,1
US1:US3032501047:XNYS,FICO,PREFERRED,240353256.27,20,USDEUR=X,1
US1:US3119001044:XNAS,FAST,PREFERRED,267731079.96,20,USDEUR=X,1
US1:US31428X1063:XNYS,FDX,PREFERRED,423411478.67,20,USDEUR=X,1
US1:US31488V1070:XNYS,FERG,PREFERRED,308554792.1,20,USDEUR=X,1
US1:US31620M1062:XNYS,FIS,PREFERRED,175675429.39,20,USDEUR=X,1
US1:US3364331070:XNAS,FSLR,PREFERRED,310282969.03,20,USDEUR=X,1
US1:US3379321074:XNYS,FE,PREFERRED,142009822.0,20,USDEUR=X,1
US1:US3377381088:XNAS,FISV,PREFERRED,258082421.25,20,USDEUR=X,1
US1:US3453708600:XNYS,F,PREFERRED,486431547.37,20,USDEUR=X,1
US1:US34959E1091:XNAS,FTNT,PREFERRED,544840910.14,20,USDEUR=X,1
US1:US34959J1088:XNYS,FTV,PREFERRED,99087972.98,20,USDEUR=X,1
US1:US3546131018:XNYS,BEN,PREFERRED,88640029.95,20,USDEUR=X,1
US1:US35671D8570:XNYS,FCX,PREFERRED,780489584.16,20,USDEUR=X,1
US1:US3666511072:XNYS,IT,PREFERRED,198689876.51,20,USDEUR=X,1
US1:US36266G1076:XNAS,GEHC,PREFERRED,158692732.23,20,USDEUR=X,1
US1:US36828A1016:XNYS,GEV,PREFERRED,1541358629.1,20,USDEUR=X,1
US1:US3687361044:XNYS,GNRC,PREFERRED,151648419.31,20,USDEUR=X,1
US1:US3695501086:XNYS,GD,PREFERRED,267722021.49,20,USDEUR=X,1
US1:US37045V1008:XNYS,GM,PREFERRED,367006382.65,20,USDEUR=X,1
US1:US3724601055:XNYS,GPC,PREFERRED,119184393.14,20,USDEUR=X,1
US1:US3755581036:XNAS,GILD,PREFERRED,656490424.87,20,USDEUR=X,1
US1:US37940X1028:XNYS,GPN,PREFERRED,201034811.4,20,USDEUR=X,1
US1:US37959E1029:XNYS,GL,PREFERRED,66087308.55,20,USDEUR=X,1
US1:US38141G1040:XNYS,GS,PREFERRED,1545407080.19,20,USDEUR=X,1
US1:US4062161017:XNYS,HAL,PREFERRED,298591718.35,20,USDEUR=X,1
US1:US4165151048:XNYS,HIG,PREFERRED,137967906.03,20,USDEUR=X,1
US1:US4180561072:XNAS,HAS,PREFERRED,110026338.17,20,USDEUR=X,1
US1:US40412C1018:XNYS,HCA,PREFERRED,410382429.67,20,USDEUR=X,1
US1:US8064071025:XNAS,HSIC,PREFERRED,67805240.71,20,USDEUR=X,1
US1:US4278661081:XNYS,HSY,PREFERRED,170125042.72,20,USDEUR=X,1
US1:US42824C1099:XNYS,HPE,PREFERRED,723317827.07,20,USDEUR=X,1
US1:US43300A2033:XNYS,HLT,PREFERRED,487012582.63,20,USDEUR=X,1
US1:US4370761029:XNYS,HD,PREFERRED,957010932.91,20,USDEUR=X,1
US1:US43849R1059:XNAS,HONA,PREFERRED,495369867.8,20,USDEUR=X,1
US1:US4385161066:XNYS,HON,PREFERRED,493291996.37,20,USDEUR=X,1
US1:US4404521001:XNYS,HRL,PREFERRED,86465980.26,20,USDEUR=X,1
