WS_ID,Yahoo_Symbol,ISIN,Primary_MIC,Unique_Bars,Valid_Bars,Future_Bars,Duplicate_Dates,History_State,History_Source
US1:US12541W2098:XNAS,CHRW,US12541W2098,XNAS,502,502,0,0,PASS,yfinance_download
US1:US1273871087:XNAS,CDNS,US1273871087,XNAS,502,502,0,0,PASS,yfinance_download
US1:US14040H1059:XNYS,COF,US14040H1059,XNYS,502,502,0,0,PASS,yfinance_download
US1:US14149Y1082:XNYS,CAH,US14149Y1082,XNYS,502,502,0,0,PASS,yfinance_download
US1:US14448C1045:XNYS,CARR,US14448C1045,XNYS,502,502,0,0,PASS,yfinance_download
US1:US1468691027:XNYS,CVNA,US1468691027,XNYS,502,502,0,0,PASS,yfinance_download
US1:US1475281036:XNAS,CASY,US1475281036,XNAS,502,502,0,0,PASS,yfinance_download
US1:US1491231015:XNYS,CAT,US1491231015,XNYS,502,502,0,0,PASS,yfinance_download
US1:US12503M1080:XNAS,CBOE,US12503M1080,XNAS,502,502,0,0,PASS,yfinance_download
US1:US12514G1085:XNAS,CDW,US12514G1085,XNAS,502,502,0,0,PASS,yfinance_download
US1:US03073E1055:XNYS,COR,US03073E1055,XNYS,502,502,0,0,PASS,yfinance_download
US1:US15135B1017:XNYS,CNC,US15135B1017,XNYS,502,502,0,0,PASS,yfinance_download
US1:US15189T1079:XNYS,CNP,US15189T1079,XNYS,502,502,0,0,PASS,yfinance_download
US1:US1252691001:XNYS,CF,US1252691001,XNYS,502,502,0,0,PASS,yfinance_download
US1:US1598641074:XNYS,CRL,US1598641074,XNYS,502,502,0,0,PASS,yfinance_download
US1:US8085131055:XNYS,SCHW,US8085131055,XNYS,502,502,0,0,PASS,yfinance_download
US1:US16117M3051:XNAS,CHTR,US16117M3051,XNAS,502,502,0,0,PASS,yfinance_download
US1:US1667641005:XNYS,CVX,US1667641005,XNYS,502,502,0,0,PASS,yfinance_download
US1:US1696561059:XNYS,CMG,US1696561059,XNYS,502,502,0,0,PASS,yfinance_download
US1:US1712321017:XNYS,CB,US1712321017,XNYS,502,502,0,0,PASS,yfinance_download
US1:US1713401024:XNYS,CHD,US1713401024,XNYS,502,502,0,0,PASS,yfinance_download
US1:US1255091092:XNYS,CI,US1255091092,XNYS,502,502,0,0,PASS,yfinance_download
US1:US1720621010:XNAS,CINF,US1720621010,XNAS,502,502,0,0,PASS,yfinance_download
US1:US1729081059:XNAS,CTAS,US1729081059,XNAS,502,502,0,0,PASS,yfinance_download
US1:US17275R1023:XNAS,CSCO,US17275R1023,XNAS,502,502,0,0,PASS,yfinance_download
US1:US1729674242:XNYS,C,US1729674242,XNYS,502,502,0,0,PASS,yfinance_download
US1:US1746101054:XNYS,CFG,US1746101054,XNYS,502,502,0,0,PASS,yfinance_download
US1:US1890541097:XNYS,CLX,US1890541097,XNYS,502,502,0,0,PASS,yfinance_download
US1:US12572Q1058:XNAS,CME,US12572Q1058,XNAS,502,502,0,0,PASS,yfinance_download
US1:US1258961002:XNYS,CMS,US1258961002,XNYS,502,502,0,0,PASS,yfinance_download
US1:US1912161007:XNYS,KO,US1912161007,XNYS,502,502,0,0,PASS,yfinance_download
US1:US1924461023:XNAS,CTSH,US1924461023,XNAS,502,502,0,0,PASS,yfinance_download
US1:US19260Q1076:XNAS,COIN,US19260Q1076,XNAS,502,502,0,0,PASS,yfinance_download
US1:US1941621039:XNYS,CL,US1941621039,XNYS,502,502,0,0,PASS,yfinance_download
US1:US20030N2001:XNAS,CMCSA,US20030N2001,XNAS,502,502,0,0,PASS,yfinance_download
US1:US1999081045:XNYS,FIX,US1999081045,XNYS,502,502,0,0,PASS,yfinance_download
US1:US20825C1045:XNYS,COP,US20825C1045,XNYS,502,502,0,0,PASS,yfinance_download
US1:US2091151041:XNYS,ED,US2091151041,XNYS,502,502,0,0,PASS,yfinance_download
US1:US21036P1084:XNYS,STZ,US21036P1084,XNYS,502,502,0,0,PASS,yfinance_download
US1:US2166484020:XNYS,COO,US2166484020,XNYS,502,502,0,0,PASS,yfinance_download
US1:US2172041061:XNAS,CPRT,US2172041061,XNAS,502,502,0,0,PASS,yfinance_download
US1:US2193501051:XNYS,GLW,US2193501051,XNYS,502,502,0,0,PASS,yfinance_download
US1:US3390411052:XNYS,CPAY,US3390411052,XNYS,502,502,0,0,PASS,yfinance_download
US1:US22052L1044:XNYS,CTVA,US22052L1044,XNYS,502,502,0,0,PASS,yfinance_download
US1:US22160K1051:XNAS,COST,US22160K1051,XNAS,502,502,0,0,PASS,yfinance_download
US1:US22788C1053:XNAS,CRWD,US22788C1053,XNAS,502,502,0,0,PASS,yfinance_download
US1:US2310211063:XNYS,CMI,US2310211063,XNYS,502,502,0,0,PASS,yfinance_download
US1:US1266501006:XNYS,CVS,US1266501006,XNYS,502,502,0,0,PASS,yfinance_download
US1:US2358511028:XNYS,DHR,US2358511028,XNYS,502,502,0,0,PASS,yfinance_download
US1:US2371941053:XNYS,DRI,US2371941053,XNYS,502,502,0,0,PASS,yfinance_download
US1:US23804L1035:XNAS,DDOG,US23804L1035,XNAS,502,502,0,0,PASS,yfinance_download
US1:US23918K1088:XNYS,DVA,US23918K1088,XNYS,502,502,0,0,PASS,yfinance_download
US1:US2441991054:XNYS,DE,US2441991054,XNYS,502,502,0,0,PASS,yfinance_download
US1:US2473617023:XNYS,DAL,US2473617023,XNYS,502,502,0,0,PASS,yfinance_download
US1:US25179M1036:XNYS,DVN,US25179M1036,XNYS,502,502,0,0,PASS,yfinance_download
US1:US2521311074:XNAS,DXCM,US2521311074,XNAS,502,502,0,0,PASS,yfinance_download
US1:US25278X1090:XNAS,FANG,US25278X1090,XNAS,502,502,0,0,PASS,yfinance_download
US1:US2566771059:XNYS,DG,US2566771059,XNYS,502,502,0,0,PASS,yfinance_download
US1:US2567461080:XNAS,DLTR,US2567461080,XNAS,502,502,0,0,PASS,yfinance_download
US1:US25746U1097:XNYS,D,US25746U1097,XNYS,502,502,0,0,PASS,yfinance_download
US1:US25754A2015:XNYS,DPZ,US25754A2015,XNYS,502,502,0,0,PASS,yfinance_download
US1:US2600031080:XNYS,DOV,US2600031080,XNYS,502,502,0,0,PASS,yfinance_download
US1:US23331A1097:XNYS,DHI,US23331A1097,XNYS,502,502,0,0,PASS,yfinance_download
US1:US26441C2044:XNYS,DUK,US26441C2044,XNYS,502,502,0,0,PASS,yfinance_download
US1:US2635341090:XNYS,DD,US2635341090,XNYS,502,502,0,0,PASS,yfinance_download
US1:US2786421030:XNAS,EBAY,US2786421030,XNAS,502,502,0,0,PASS,yfinance_download
US1:US2787681061:XNAS,ECHO,US2787681061,XNAS,502,502,0,0,PASS,yfinance_download
US1:US2788651006:XNYS,ECL,US2788651006,XNYS,502,502,0,0,PASS,yfinance_download
US1:US2810201077:XNYS,EIX,US2810201077,XNYS,502,502,0,0,PASS,yfinance_download
US1:US28176E1082:XNYS,EW,US28176E1082,XNYS,502,502,0,0,PASS,yfinance_download
US1:US0367521038:XNYS,ELV,US0367521038,XNYS,502,502,0,0,PASS,yfinance_download
US1:US29084Q1004:XNYS,EME,US29084Q1004,XNYS,502,502,0,0,PASS,yfinance_download
US1:US2910111044:XNYS,EMR,US2910111044,XNYS,502,502,0,0,PASS,yfinance_download
US1:US29364G1031:XNYS,ETR,US29364G1031,XNYS,502,502,0,0,PASS,yfinance_download
US1:US26875P1012:XNYS,EOG,US26875P1012,XNYS,502,502,0,0,PASS,yfinance_download
US1:US26884L1098:XNYS,EQT,US26884L1098,XNYS,502,502,0,0,PASS,yfinance_download
US1:US2944291051:XNYS,EFX,US2944291051,XNYS,502,502,0,0,PASS,yfinance_download
US1:US5184391044:XNYS,EL,US5184391044,XNYS,502,502,0,0,PASS,yfinance_download
US1:US30034W1062:XNYS,EVRG,US30034W1062,XNYS,502,502,0,0,PASS,yfinance_download
US1:US30040W1080:XNYS,ES,US30040W1080,XNYS,502,502,0,0,PASS,yfinance_download
US1:US30161N1019:XNYS,EXC,US30161N1019,XNYS,502,502,0,0,PASS,yfinance_download
US1:US1651671075:XNAS,EXE,US1651671075,XNAS,502,502,0,0,PASS,yfinance_download
US1:US30212P3038:XNAS,EXPE,US30212P3038,XNAS,502,502,0,0,PASS,yfinance_download
US1:US3021301094:XNAS,EXPD,US3021301094,XNAS,502,502,0,0,PASS,yfinance_download
US1:US30231G1022:XNYS,XOM,US30231G1022,XNYS,502,502,0,0,PASS,yfinance_download
US1:US3156161024:XNAS,FFIV,US3156161024,XNAS,502,502,0,0,PASS,yfinance_download
US1:US3030751057:XNYS,FDS,US3030751057,XNYS,502,502,0,0,PASS,yfinance_download
US1:US3032501047:XNYS,FICO,US3032501047,XNYS,502,502,0,0,PASS,yfinance_download
US1:US3119001044:XNAS,FAST,US3119001044,XNAS,502,502,0,0,PASS,yfinance_download
US1:US31428X1063:XNYS,FDX,US31428X1063,XNYS,502,502,0,0,PASS,yfinance_download
US1:US31488V1070:XNYS,FERG,US31488V1070,XNYS,502,502,0,0,PASS,yfinance_download
US1:US31620M1062:XNYS,FIS,US31620M1062,XNYS,502,502,0,0,PASS,yfinance_download
US1:US3364331070:XNAS,FSLR,US3364331070,XNAS,502,502,0,0,PASS,yfinance_download
US1:US3379321074:XNYS,FE,US3379321074,XNYS,502,502,0,0,PASS,yfinance_download
US1:US3377381088:XNAS,FISV,US3377381088,XNAS,501,501,0,0,PASS,yfinance_download
US1:US3453708600:XNYS,F,US3453708600,XNYS,502,502,0,0,PASS,yfinance_download
US1:US34959E1091:XNAS,FTNT,US34959E1091,XNAS,502,502,0,0,PASS,yfinance_download
US1:US34959J1088:XNYS,FTV,US34959J1088,XNYS,502,502,0,0,PASS,yfinance_download
US1:US3546131018:XNYS,BEN,US3546131018,XNYS,502,502,0,0,PASS,yfinance_download
US1:US35671D8570:XNYS,FCX,US35671D8570,XNYS,502,502,0,0,PASS,yfinance_download
US1:US3666511072:XNYS,IT,US3666511072,XNYS,502,502,0,0,PASS,yfinance_download
US1:US36266G1076:XNAS,GEHC,US36266G1076,XNAS,502,502,0,0,PASS,yfinance_download
US1:US36828A1016:XNYS,GEV,US36828A1016,XNYS,502,502,0,0,PASS,yfinance_download
US1:US3687361044:XNYS,GNRC,US3687361044,XNYS,502,502,0,0,PASS,yfinance_download
US1:US3695501086:XNYS,GD,US3695501086,XNYS,502,502,0,0,PASS,yfinance_download
US1:US37045V1008:XNYS,GM,US37045V1008,XNYS,502,502,0,0,PASS,yfinance_download
US1:US3724601055:XNYS,GPC,US3724601055,XNYS,502,502,0,0,PASS,yfinance_download
US1:US3755581036:XNAS,GILD,US3755581036,XNAS,502,502,0,0,PASS,yfinance_download
US1:US37940X1028:XNYS,GPN,US37940X1028,XNYS,502,502,0,0,PASS,yfinance_download
US1:US37959E1029:XNYS,GL,US37959E1029,XNYS,502,502,0,0,PASS,yfinance_download
US1:US38141G1040:XNYS,GS,US38141G1040,XNYS,502,502,0,0,PASS,yfinance_download
US1:US4062161017:XNYS,HAL,US4062161017,XNYS,502,502,0,0,PASS,yfinance_download
US1:US4165151048:XNYS,HIG,US4165151048,XNYS,502,502,0,0,PASS,yfinance_download
US1:US4180561072:XNAS,HAS,US4180561072,XNAS,502,502,0,0,PASS,yfinance_download
US1:US40412C1018:XNYS,HCA,US40412C1018,XNYS,502,502,0,0,PASS,yfinance_download
US1:US8064071025:XNAS,HSIC,US8064071025,XNAS,502,502,0,0,PASS,yfinance_download
US1:US4278661081:XNYS,HSY,US4278661081,XNYS,502,502,0,0,PASS,yfinance_download
US1:US42824C1099:XNYS,HPE,US42824C1099,XNYS,502,502,0,0,PASS,yfinance_download
US1:US43300A2033:XNYS,HLT,US43300A2033,XNYS,502,502,0,0,PASS,yfinance_download
US1:US4370761029:XNYS,HD,US4370761029,XNYS,502,502,0,0,PASS,yfinance_download
US1:US43849R1059:XNAS,HONA,US43849R1059,XNAS,58,58,0,0,HISTORY_FAIL,yfinance_download
US1:US4385161066:XNYS,HON,US4385161066,XNYS,502,502,0,0,PASS,yfinance_download
US1:US4404521001:XNYS,HRL,US4404521001,XNYS,502,502,0,0,PASS,yfinance_download
US1:US4435106079:XNYS,HUBB,US4435106079,XNYS,502,502,0,0,PASS,yfinance_download
US1:US4448591028:XNYS,HUM,US4448591028,XNYS,502,502,0,0,PASS,yfinance_download
US1:US4464131063:XNYS,HII,US4464131063,XNYS,502,502,0,0,PASS,yfinance_download
US1:US4592001014:XNYS,IBM,US4592001014,XNYS,502,502,0,0,PASS,yfinance_download
US1:US45167R1041:XNYS,IEX,US45167R1041,XNYS,502,502,0,0,PASS,yfinance_download
US1:US45168D1046:XNAS,IDXX,US45168D1046,XNAS,502,502,0,0,PASS,yfinance_download
US1:US4523081093:XNYS,ITW,US4523081093,XNYS,502,502,0,0,PASS,yfinance_download
US1:US45337C1027:XNAS,INCY,US45337C1027,XNAS,502,502,0,0,PASS,yfinance_download
US1:US4581401001:XNAS,INTC,US4581401001,XNAS,502,502,0,0,PASS,yfinance_download
US1:US45841N1072:XNAS,IBKR,US45841N1072,XNAS,502,502,0,0,PASS,yfinance_download
US1:US45866F1049:XNYS,ICE,US45866F1049,XNYS,502,502,0,0,PASS,yfinance_download
US1:US4595061015:XNYS,IFF,US4595061015,XNYS,502,502,0,0,PASS,yfinance_download
US1:US4601461035:XNYS,IP,US4601461035,XNYS,502,502,0,0,PASS,yfinance_download
US1:US4612021034:XNAS,INTU,US4612021034,XNAS,502,502,0,0,PASS,yfinance_download
US1:US46120E6023:XNAS,ISRG,US46120E6023,XNAS,502,502,0,0,PASS,yfinance_download
US1:US46266C1053:XNYS,IQV,US46266C1053,XNYS,502,502,0,0,PASS,yfinance_download
US1:US4456581077:XNAS,JBHT,US4456581077,XNAS,502,502,0,0,PASS,yfinance_download
US1:US4663131039:XNYS,JBL,US4663131039,XNYS,502,502,0,0,PASS,yfinance_download
US1:US4262811015:XNAS,JKHY,US4262811015,XNAS,502,502,0,0,PASS,yfinance_download
US1:US4698141078:XNYS,J,US4698141078,XNYS,502,502,0,0,PASS,yfinance_download
US1:US4781601046:XNYS,JNJ,US4781601046,XNYS,502,502,0,0,PASS,yfinance_download
US1:US46625H1005:XNYS,JPM,US46625H1005,XNYS,502,502,0,0,PASS,yfinance_download
