Issuer_Key,Primary_MIC,Canonical_WS_ID,Canonical_Ticker,ISIN,Group_N,Eligibility_DryRun,Note
Q790060,XNAS,US1:US11135F1012:XNAS,AVGO,US11135F1012,1,ELIGIBLE,unapplied to 1633
Q4972280,XNYS,US1:US11133T1034:XNYS,BR,US11133T1034,1,ELIGIBLE,unapplied to 1633
Q4976010,XNYS,US1:US1152361010:XNYS,BRO,US1152361010,1,ELIGIBLE,unapplied to 1633
Q392221,XNYS,US1:US1156371007:XNYS,BF.B,US1156371007,1,ELIGIBLE,unapplied to 1633
Q27686100,XNYS,US1:US12008R1077:XNYS,BLDR,US12008R1077,1,ELIGIBLE,unapplied to 1633
Q931200,XNAS,US1:US12541W2098:XNAS,CHRW,US12541W2098,1,ELIGIBLE,unapplied to 1633
Q608776,XNAS,US1:US1273871087:XNAS,CDNS,US1273871087,1,ELIGIBLE,unapplied to 1633
Q1034654,XNYS,US1:US14040H1059:XNYS,COF,US14040H1059,1,ELIGIBLE,unapplied to 1633
Q902397,XNYS,US1:US14149Y1082:XNYS,CAH,US14149Y1082,1,ELIGIBLE,unapplied to 1633
Q731912,XNYS,US1:US14448C1045:XNYS,CARR,US14448C1045,1,ELIGIBLE,unapplied to 1633
Q16247191,XNYS,US1:US1468691027:XNYS,CVNA,US1468691027,1,ELIGIBLE,unapplied to 1633
Q2940968,XNAS,US1:US1475281036:XNAS,CASY,US1475281036,1,ELIGIBLE,unapplied to 1633
Q459965,XNYS,US1:US1491231015:XNYS,CAT,US1491231015,1,ELIGIBLE,unapplied to 1633
Q30635731,XNAS,US1:US12503M1080:XNAS,CBOE,US12503M1080,1,ELIGIBLE,unapplied to 1633
Q1023155,XNAS,US1:US12514G1085:XNAS,CDW,US12514G1085,1,ELIGIBLE,unapplied to 1633
Q470156,XNYS,US1:US03073E1055:XNYS,COR,US03073E1055,1,ELIGIBLE,unapplied to 1633
Q5059102,XNYS,US1:US15135B1017:XNYS,CNC,US15135B1017,1,ELIGIBLE,unapplied to 1633
