Security_Key,Source_WS_ID,EMA20_materialized,EMA20_independent,EMA20_exact_match,EMA50_materialized,EMA50_independent,EMA50_exact_match,ATR14_materialized,ATR14_independent,ATR14_exact_match,semantics
WSSEC:WS:XNYS:LII,WS:XNYS:LII,377.7773168484809,377.7773168484809,True,415.0064482290076,415.0064482290076,True,11.154918349389634,11.154918349389634,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:LLY,WS:XNYS:LLY,1160.169574793407,1160.169574793407,True,1161.8762824548394,1161.8762824548394,True,32.7545478178436,32.7545478178436,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:LMT,WS:XNYS:LMT,537.6875893660106,537.6875893660106,True,546.6472280498535,546.6472280498535,True,13.025795460704062,13.025795460704062,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:LOW,WS:XNYS:LOW,198.08206188104828,198.08206188104828,True,205.7880738686382,205.7880738686382,True,4.656953941299175,4.656953941299175,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:LPX,WS:XNYS:LPX,67.88578001648096,67.88578001648096,True,70.69313687598446,70.69313687598446,True,2.3369466957903056,2.3369466957903056,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:LUV,WS:XNYS:LUV,40.66097615049827,40.66097615049827,True,42.07338082303812,42.07338082303812,True,1.2636289325268566,1.2636289325268566,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:LVS,WS:XNYS:LVS,41.937910613585544,41.937910613585544,True,44.28798203245147,44.28798203245147,True,1.0887445730819132,1.0887445730819132,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:LYV,WS:XNYS:LYV,172.69504407695382,172.69504407695382,True,175.37391261688225,175.37391261688225,True,4.119432557913502,4.119432557913502,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:M,WS:XNYS:M,22.303197597685035,22.303197597685035,True,22.77645096509325,22.77645096509325,True,0.8901217517992063,0.8901217517992063,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:MA,WS:XNYS:MA,569.6203521145237,569.6203521145237,True,562.6016941860161,562.6016941860161,True,9.511083004010773,9.511083004010773,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:MAS,WS:XNYS:MAS,69.77511761147653,69.77511761147653,True,71.85814734873142,71.85814734873142,True,1.8807967321592314,1.8807967321592314,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:MCD,WS:XNYS:MCD,252.45157651431302,252.45157651431302,True,261.4478752612074,261.4478752612074,True,5.127993049322858,5.127993049322858,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:MCK,WS:XNYS:MCK,884.9590912651248,884.9590912651248,True,868.5700515007912,868.5700515007912,True,22.367862163752065,22.367862163752065,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:MCO,WS:XNYS:MCO,477.1349191034061,477.1349191034061,True,480.27723931881644,480.27723931881644,True,11.143076922083365,11.143076922083365,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:MET,WS:XNYS:MET,96.75326138865188,96.75326138865188,True,95.01884275379136,95.01884275379136,True,1.8434506111739006,1.8434506111739006,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
