Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,raw_bars,valid_bars,excluded_bars,feature_input_bars,excluded_date,raw_bar_remains_present,excluded_date_absent_from_feature_input,feature_as_of_date,EMA20_filtered_exact,EMA50_filtered_exact,ATR14_filtered_exact,finite_window_features_filtered,technical_capability,regression_result
WSSEC:WS:XASX:ANZ,WS:XASX:ANZ,XASX,ANZ,507,506,1,506,2024-11-15,True,True,2026-09-22,True,True,True,PASS,CORE_IMPLEMENTED_FEATURES_COMPLETE_BUT_GLOBAL_MASTER_MODEL_GAP,PASS
WSSEC:WS:XASX:BSL,WS:XASX:BSL,XASX,BSL,507,506,1,506,2024-11-15,True,True,2026-09-22,True,True,True,PASS,CORE_IMPLEMENTED_FEATURES_COMPLETE_BUT_GLOBAL_MASTER_MODEL_GAP,PASS
WSSEC:WS:XASX:BXB,WS:XASX:BXB,XASX,BXB,507,506,1,506,2024-11-15,True,True,2026-09-22,True,True,True,PASS,CORE_IMPLEMENTED_FEATURES_COMPLETE_BUT_GLOBAL_MASTER_MODEL_GAP,PASS
WSSEC:WS:XASX:CBA,WS:XASX:CBA,XASX,CBA,507,506,1,506,2024-11-15,True,True,2026-09-22,True,True,True,PASS,CORE_IMPLEMENTED_FEATURES_COMPLETE_BUT_GLOBAL_MASTER_MODEL_GAP,PASS
WSSEC:WS:XASX:NXT,WS:XASX:NXT,XASX,NXT,507,506,1,506,2024-11-15,True,True,2026-09-22,True,True,True,PASS,CORE_IMPLEMENTED_FEATURES_COMPLETE_BUT_GLOBAL_MASTER_MODEL_GAP,PASS
WSSEC:WS:XASX:PME,WS:XASX:PME,XASX,PME,507,506,1,506,2024-11-15,True,True,2026-09-22,True,True,True,PASS,CORE_IMPLEMENTED_FEATURES_COMPLETE_BUT_GLOBAL_MASTER_MODEL_GAP,PASS
WSSEC:WS:XASX:QAN,WS:XASX:QAN,XASX,QAN,507,506,1,506,2024-11-15,True,True,2026-09-22,True,True,True,PASS,CORE_IMPLEMENTED_FEATURES_COMPLETE_BUT_GLOBAL_MASTER_MODEL_GAP,PASS
WSSEC:WS:XASX:SDF,WS:XASX:SDF,XASX,SDF,507,506,1,506,2024-11-15,True,True,2026-09-22,True,True,True,PASS,CORE_IMPLEMENTED_FEATURES_COMPLETE_BUT_GLOBAL_MASTER_MODEL_GAP,PASS
