Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,source_data_defect,excluded_bar_count,excluded_dates,filtered_policy_version
WSSEC:WS:XASX:ANZ,WS:XASX:ANZ,XASX,ANZ,True,1,2024-11-15,v0.53/POLICY_F_CANONICAL_FILTERED_INVALID_BAR_SOURCE_DEFECT
WSSEC:WS:XASX:BSL,WS:XASX:BSL,XASX,BSL,True,1,2024-11-15,v0.53/POLICY_F_CANONICAL_FILTERED_INVALID_BAR_SOURCE_DEFECT
WSSEC:WS:XASX:BXB,WS:XASX:BXB,XASX,BXB,True,1,2024-11-15,v0.53/POLICY_F_CANONICAL_FILTERED_INVALID_BAR_SOURCE_DEFECT
WSSEC:WS:XASX:CBA,WS:XASX:CBA,XASX,CBA,True,1,2024-11-15,v0.53/POLICY_F_CANONICAL_FILTERED_INVALID_BAR_SOURCE_DEFECT
WSSEC:WS:XASX:NXT,WS:XASX:NXT,XASX,NXT,True,1,2024-11-15,v0.53/POLICY_F_CANONICAL_FILTERED_INVALID_BAR_SOURCE_DEFECT
WSSEC:WS:XASX:PME,WS:XASX:PME,XASX,PME,True,1,2024-11-15,v0.53/POLICY_F_CANONICAL_FILTERED_INVALID_BAR_SOURCE_DEFECT
WSSEC:WS:XASX:QAN,WS:XASX:QAN,XASX,QAN,True,1,2024-11-15,v0.53/POLICY_F_CANONICAL_FILTERED_INVALID_BAR_SOURCE_DEFECT
WSSEC:WS:XASX:SDF,WS:XASX:SDF,XASX,SDF,True,1,2024-11-15,v0.53/POLICY_F_CANONICAL_FILTERED_INVALID_BAR_SOURCE_DEFECT
