WS_ID,Name,ISIN,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Primary_Universe_Index,Index_Tags,ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:XLON:ROR.L,ROTORK,,GB,ROR.L,London SE,XLON,GBP,EU_STOXX600,EU_STOXX600,WS:XLON:ROR.L,ROR.L,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,507,507,0,1,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XOSL:KMAR.OL,KONGSBERG MARITIME,,NO,KMAR.OL,Oslo Bors,XOSL,NOK,EU_STOXX600,EU_STOXX600,WS:XOSL:KMAR.OL,KMAR.OL,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,84,84,0,0,0.0,2026-04-23,2026-08-21,2026-08-23T23:02:27+00:00,YF-20260823T230222119616-f5ab8104,
WS:XPAR:ABVX.PA,ABIVAX,,FR,ABVX.PA,Euronext Paris,XPAR,EUR,EU_STOXX600,EU_STOXX600,WS:XPAR:ABVX.PA,ABVX.PA,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,511,511,0,1,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XSTO:OCTVSDB.ST,OCTAVE INTELLIGENCE SDR,,SE,OCTVsdb.ST,NASDAQ Stockholm,XSTO,SEK,EU_STOXX600,EU_STOXX600,WS:XSTO:OCTVSDB.ST,OCTV,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,64,64,0,0,0.0,2026-05-21,2026-08-21,2026-08-23T23:02:47+00:00,YF-20260823T230242307058-0d9d7896,
WS:XSTO:VSURE.ST,VERISURE,,SE,VSURE.ST,NASDAQ Stockholm,XSTO,EUR,EU_STOXX600,EU_STOXX600,WS:XSTO:VSURE.ST,VSURE.ST,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,1,1,0,0,0.0,2026-08-21,2026-08-21,2026-08-23T23:02:47+00:00,YF-20260823T230242307058-0d9d7896,
WS:XKRX:006400,Samsung SDI,,South Korea,006400,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,WS:XKRX:006400,006400.KS,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XKRX:007660,Isu Petasys,,South Korea,007660,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,WS:XKRX:007660,007660.KS,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XKRX:009830,Hanwha Solutions,,South Korea,009830,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,WS:XKRX:009830,009830.KS,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XKRX:010120,LS Electric,,South Korea,010120,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,WS:XKRX:010120,010120.KS,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,0,0,0.006224066390041493,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XKRX:010140,Samsung Heavy Industries,,South Korea,010140,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,WS:XKRX:010140,010140.KS,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
