WS_ID,Yahoo_Symbol,Yahoo_Mapping_Status,Primary_Ticker,Primary_MIC,Primary_Currency
WS:XASX:FPH,FPH.AX,EXPLICIT,FPH,XASX,AUD
WS:XASX:FRW,FRW.AX,EXPLICIT,FRW,XASX,AUD
WS:XASX:GDG,GDG.AX,EXPLICIT,GDG,XASX,AUD
WS:XASX:GGP,GGP.AX,EXPLICIT,GGP,XASX,AUD
WS:XASX:GMD,GMD.AX,EXPLICIT,GMD,XASX,AUD
WS:XASX:GMG,GMG.AX,EXPLICIT,GMG,XASX,AUD
WS:XASX:GNE,GNE.AX,EXPLICIT,GNE,XASX,AUD
WS:XASX:GPT,GPT.AX,EXPLICIT,GPT,XASX,AUD
WS:XASX:GQG,GQG.AX,EXPLICIT,GQG,XASX,AUD
WS:XASX:HDN,HDN.AX,EXPLICIT,HDN,XASX,AUD
WS:XASX:HUB,HUB.AX,EXPLICIT,HUB,XASX,AUD
WS:XASX:HVN,HVN.AX,EXPLICIT,HVN,XASX,AUD
WS:XASX:IAG,IAG.AX,EXPLICIT,IAG,XASX,AUD
WS:XASX:IFL,IFL.AX,EXPLICIT,IFL,XASX,AUD
WS:XASX:IFT,IFT.AX,EXPLICIT,IFT,XASX,AUD
WS:XASX:IGO,IGO.AX,EXPLICIT,IGO,XASX,AUD
WS:XASX:ILU,ILU.AX,EXPLICIT,ILU,XASX,AUD
WS:XASX:IMD,IMD.AX,EXPLICIT,IMD,XASX,AUD
WS:XASX:JBH,JBH.AX,EXPLICIT,JBH,XASX,AUD
WS:XASX:JHX,JHX.AX,EXPLICIT,JHX,XASX,AUD
WS:XASX:L1G,L1G.AX,EXPLICIT,L1G,XASX,AUD
WS:XASX:LLC,LLC.AX,EXPLICIT,LLC,XASX,AUD
WS:XASX:LNW,LNW.AX,EXPLICIT,LNW,XASX,AUD
WS:XASX:LOV,LOV.AX,EXPLICIT,LOV,XASX,AUD
WS:XASX:LSF,LSF.AX,EXPLICIT,LSF,XASX,AUD
WS:XASX:LTR,LTR.AX,EXPLICIT,LTR,XASX,AUD
WS:XASX:LYC,LYC.AX,EXPLICIT,LYC,XASX,AUD
WS:XASX:MCY,MCY.AX,EXPLICIT,MCY,XASX,AUD
WS:XASX:MEZ,MEZ.AX,EXPLICIT,MEZ,XASX,AUD
WS:XASX:MFF,MFF.AX,EXPLICIT,MFF,XASX,AUD
WS:XASX:MFG,MFG.AX,EXPLICIT,MFG,XASX,AUD
WS:XASX:MGR,MGR.AX,EXPLICIT,MGR,XASX,AUD
WS:XASX:MIN,MIN.AX,EXPLICIT,MIN,XASX,AUD
WS:XASX:MND,MND.AX,EXPLICIT,MND,XASX,AUD
WS:XASX:MPL,MPL.AX,EXPLICIT,MPL,XASX,AUD
WS:XASX:MQG,MQG.AX,EXPLICIT,MQG,XASX,AUD
WS:XASX:MSB,MSB.AX,EXPLICIT,MSB,XASX,AUD
WS:XASX:MTS,MTS.AX,EXPLICIT,MTS,XASX,AUD
WS:XASX:MXT,MXT.AX,EXPLICIT,MXT,XASX,AUD
WS:XASX:NAB,NAB.AX,EXPLICIT,NAB,XASX,AUD
WS:XASX:NEM,NEM.AX,EXPLICIT,NEM,XASX,AUD
WS:XASX:NHC,NHC.AX,EXPLICIT,NHC,XASX,AUD
WS:XASX:NHF,NHF.AX,EXPLICIT,NHF,XASX,AUD
WS:XASX:NIC,NIC.AX,EXPLICIT,NIC,XASX,AUD
WS:XASX:NSR,NSR.AX,EXPLICIT,NSR,XASX,AUD
WS:XASX:NST,NST.AX,EXPLICIT,NST,XASX,AUD
WS:XASX:NWH,NWH.AX,EXPLICIT,NWH,XASX,AUD
WS:XASX:NWL,NWL.AX,EXPLICIT,NWL,XASX,AUD
WS:XASX:NWS,NWS.AX,EXPLICIT,NWS,XASX,AUD
WS:XASX:NXG,NXG.AX,EXPLICIT,NXG,XASX,AUD
WS:XASX:NXT,NXT.AX,EXPLICIT,NXT,XASX,AUD
WS:XASX:OBM,OBM.AX,EXPLICIT,OBM,XASX,AUD
WS:XASX:ORA,ORA.AX,EXPLICIT,ORA,XASX,AUD
WS:XASX:ORG,ORG.AX,EXPLICIT,ORG,XASX,AUD
WS:XASX:ORI,ORI.AX,EXPLICIT,ORI,XASX,AUD
WS:XASX:PDI,PDI.AX,EXPLICIT,PDI,XASX,AUD
WS:XASX:PDN,PDN.AX,EXPLICIT,PDN,XASX,AUD
WS:XASX:PLS,PLS.AX,EXPLICIT,PLS,XASX,AUD
WS:XASX:PME,PME.AX,EXPLICIT,PME,XASX,AUD
WS:XASX:PMV,PMV.AX,EXPLICIT,PMV,XASX,AUD
WS:XASX:PNI,PNI.AX,EXPLICIT,PNI,XASX,AUD
WS:XASX:PPT,PPT.AX,EXPLICIT,PPT,XASX,AUD
WS:XASX:PRN,PRN.AX,EXPLICIT,PRN,XASX,AUD
WS:XASX:PRU,PRU.AX,EXPLICIT,PRU,XASX,AUD
WS:XASX:PXA,PXA.AX,EXPLICIT,PXA,XASX,AUD
WS:XASX:QAN,QAN.AX,EXPLICIT,QAN,XASX,AUD
WS:XASX:QBE,QBE.AX,EXPLICIT,QBE,XASX,AUD
WS:XASX:QUB,QUB.AX,EXPLICIT,QUB,XASX,AUD
WS:XASX:RDX,RDX.AX,EXPLICIT,RDX,XASX,AUD
WS:XASX:REA,REA.AX,EXPLICIT,REA,XASX,AUD
WS:XASX:REG,REG.AX,EXPLICIT,REG,XASX,AUD
WS:XASX:REH,REH.AX,EXPLICIT,REH,XASX,AUD
WS:XASX:RGN,RGN.AX,EXPLICIT,RGN,XASX,AUD
WS:XASX:RHC,RHC.AX,EXPLICIT,RHC,XASX,AUD
WS:XASX:RIO,RIO.AX,EXPLICIT,RIO,XASX,AUD
WS:XASX:RMD,RMD.AX,EXPLICIT,RMD,XASX,AUD
WS:XASX:RMS,RMS.AX,EXPLICIT,RMS,XASX,AUD
WS:XASX:RRL,RRL.AX,EXPLICIT,RRL,XASX,AUD
WS:XASX:RSG,RSG.AX,EXPLICIT,RSG,XASX,AUD
WS:XASX:RWC,RWC.AX,EXPLICIT,RWC,XASX,AUD
WS:XASX:RYM,RYM.AX,EXPLICIT,RYM,XASX,AUD
WS:XASX:S32,S32.AX,EXPLICIT,S32,XASX,AUD
WS:XASX:SCG,SCG.AX,EXPLICIT,SCG,XASX,AUD
WS:XASX:SDF,SDF.AX,EXPLICIT,SDF,XASX,AUD
WS:XASX:SEK,SEK.AX,EXPLICIT,SEK,XASX,AUD
WS:XASX:SFR,SFR.AX,EXPLICIT,SFR,XASX,AUD
WS:XASX:SGH,SGH.AX,EXPLICIT,SGH,XASX,AUD
WS:XASX:SGM,SGM.AX,EXPLICIT,SGM,XASX,AUD
WS:XASX:SGP,SGP.AX,EXPLICIT,SGP,XASX,AUD
WS:XASX:SHL,SHL.AX,EXPLICIT,SHL,XASX,AUD
WS:XASX:SIG,SIG.AX,EXPLICIT,SIG,XASX,AUD
WS:XASX:SMR,SMR.AX,EXPLICIT,SMR,XASX,AUD
WS:XASX:SNZ,SNZ.AX,EXPLICIT,SNZ,XASX,AUD
WS:XASX:SOL,SOL.AX,EXPLICIT,SOL,XASX,AUD
WS:XASX:SPK,SPK.AX,EXPLICIT,SPK,XASX,AUD
WS:XASX:STO,STO.AX,EXPLICIT,STO,XASX,AUD
WS:XASX:SUL,SUL.AX,EXPLICIT,SUL,XASX,AUD
WS:XASX:SUN,SUN.AX,EXPLICIT,SUN,XASX,AUD
WS:XASX:TAH,TAH.AX,EXPLICIT,TAH,XASX,AUD
WS:XASX:TCL,TCL.AX,EXPLICIT,TCL,XASX,AUD
WS:XASX:TLC,TLC.AX,EXPLICIT,TLC,XASX,AUD
WS:XASX:TLS,TLS.AX,EXPLICIT,TLS,XASX,AUD
WS:XASX:TLX,TLX.AX,EXPLICIT,TLX,XASX,AUD
WS:XASX:TNE,TNE.AX,EXPLICIT,TNE,XASX,AUD
