Research_Partial_Rank_v0_16,WS_ID,Name,Country,Primary_Ticker,Primary_MIC,Primary_Currency,Primary_Universe_Index,AsOfRaw_v0_18,AsOfParsedUTC_v0_18,FeatureRowMatched_v0_18,AsOfValid_v0_18,CoreFeatureComplete_v0_18,PersistentFeatureUsable_v0_18,PriorV017DataError_v0_18,IntegrityStatus_v0_18,QuarantineReason_v0_18,P0QualificationAllowed_v0_18,P0Survivor_v0_18,TradingDecisionAllowed_v0_18,P0ObservationOnly_v0_18
623,WS:XSHG:600031,Sany Heavy Industry Co Ltd,China,600031,XSHG,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
624,WS:XSHE:002600,LINGYI iTECH (GUANGDONG) COMPANY,China,002600,XSHE,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
625,WS:US:WCC,WESCO International,,WCC,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
626,WS:XSHG:601088,China Shenhua Energy Co Ltd,China,601088,XSHG,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
627,WS:XTKS:6762,TDK CORP.,Japan,6762,XTKS,JPY,JP_N225,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
628,WS:US:NBIX,Neurocrine Biosciences,,NBIX,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
629,WS:XSHG:601127,"Seres Group Co., Ltd.",China,601127,XSHG,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
630,WS:US:LSCC,Lattice Semiconductor,,LSCC,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
631,WS:XSHG:601919,"COSCO SHIPPING Holdings Co., Ltd.",China,601919,XSHG,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
632,WS:ISIN:TW0002382009,QUANTA COMPUTER INC.,Taiwan,2382,XTAI,TWD,TW_TW50,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
633,WS:US:SAIA,Saia,,SAIA,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
634,WS:US:SWK,Stanley Black & Decker,,SWK,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
635,WS:US:CSGP,CoStar Group,,CSGP,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
636,WS:US:INCY,Incyte,,INCY,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
637,WS:US:DUOL,Duolingo,,DUOL,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
