Research_Partial_Rank_v0_16,WS_ID,Name,Country,Primary_Ticker,Primary_MIC,Primary_Currency,Primary_Universe_Index,Instrument_Gate_Reason,Scalable_Tradeability_Status,Cache_Status,Cache_Reason,FreeFloatMarketCap_Status,FX_Coverage20,FX_Coverage60,Liquidity_Data_Status,Blocking_Reasons,Instrument_Resolution_Reason_v0_6,Instrument_Resolution_Reason_v0_7,Instrument_Resolution_Reason_v0_8,Instrument_Resolution_Reason_v0_10,Instrument_Resolution_Reason_v0_12,Instrument_Resolution_Reason_v0_14,Research_Partial_Status_v0_16,Feature_Status,Bars,AsOfRaw_v0_18,AsOfParsedUTC_v0_18,FeatureRowMatched_v0_18,AsOfValid_v0_18,CoreFeatureComplete_v0_18,PriorV017DataError_v0_18,IntegrityStatus_v0_18,QuarantineReason_v0_18,PersistentFeatureUsable_v0_18
1769,WS:SRC:ZA_TOP40:C46C9A1E2438665A,Anglo American,South Africa,,XJSE,ZAR,ZA_TOP40,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,FILTERED_INVALID_BARS_EXCLUDED,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,OK,INSTRUMENT_NOT_VERIFIED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,,,JSE_OFFICIAL_INSTRUMENT_TYPE_IS_ORDINARY_SHARE_CLASS,JSE_OFFICIAL_INSTRUMENT_TYPE_IS_ORDINARY_SHARE_CLASS,INCLUDED_VERIFIED_STRICT,,,,,False,False,False,True,QUARANTINED,UNMATCHED_FEATURE_ROW,False
1831,WS:SRC:ZA_TOP40:3CA42D3A25639D8E,Sasol,South Africa,,XJSE,ZAR,ZA_TOP40,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,OK,INSTRUMENT_NOT_VERIFIED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,,,JSE_OFFICIAL_INSTRUMENT_TYPE_IS_ORDINARY_SHARE_CLASS,JSE_OFFICIAL_INSTRUMENT_TYPE_IS_ORDINARY_SHARE_CLASS,INCLUDED_VERIFIED_STRICT,,,,,False,False,False,True,QUARANTINED,UNMATCHED_FEATURE_ROW,False
